run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,HLT_PFMET120_PFMHT120_IDTight,HLT_PFMETNoMu120_PFMHTNoMu_IDTight,HLT_PFMET110_PFMHT110_IDTight,HLT_PFMET170_HBHECleaned,HLT_PFMET170_NotCleaned,HLT_PFHT800,HLT_PFHT900,HLT_IsoMu20,HLT_IsoMu24,HLT_IsoTkMu24,HLT_Mu50,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status,generator_weight,generator_weight_status
279975,93,65870183,116.529,0.848557,69.8873,1.16799,0.122391,46.6414,9,3,2,571.017,651.339,318.736,221.735,0,0,0,0,2,0,0,0.784221,31,2072,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
279975,93,65683558,12.4861,2.00067,32.9755,-2.36865,1,-20.4894,11,1,0,32.9755,180.318,32.9755,20.2504,0,0,0,0,2,0,0,0.815219,44,2761,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
279975,93,66669669,11.1513,-2.99562,0,0,0,11.1513,9,0,0,0,125.249,18.0237,17.743,0,0,0,0,0,0,0,0.532486,29,2114,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,0
279975,93,66314773,92.9623,-1.36444,31.3728,0.635063,1,61.5895,21,1,0,31.3728,318.848,31.3728,24.9702,0,0,0,0,5,0,0,0.688415,65,3120,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
279975,93,66862055,5.03683,-0.495304,0,0,0,5.03683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,1,311,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,-1,1,1,1,1,1,0
279975,93,66671396,21.5981,0.705607,0,0,0,21.5981,2,0,0,0,34.2569,17.7944,16.4625,0,0,0,0,0,0,0,0.288783,24,1577,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
279975,93,65495204,146.08,-3.04182,155.83,3.11475,1,-9.75027,4,1,1,155.83,192.376,155.83,13.8896,0,0,0,0,0,0,0,0.452057,31,1817,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,-1,1,1,0
279975,93,65373096,45.8184,0.959296,0,0,0,45.8184,8,0,0,0,118.955,26.2802,18.9189,0,0,0,0,2,0,0,0.690227,27,2120,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
279975,93,66995106,38.738,-1.67205,20.7359,-1.40262,0.108116,18.0021,7,3,2,191.793,240.142,84.6021,70.5019,1,0,1,24.2008,2,1,0,0.925016,26,1794,3,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
279975,93,66685218,90.9762,-2.77859,84.8693,-2.94026,0.813707,6.10682,13,2,1,104.3,278.096,65.8413,38.4583,0,0,0,0,3,0,0,0.703158,51,2917,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
279975,93,65564324,27.7862,2.12338,0,0,0,27.7862,5,0,0,0,87,26.3172,17.8985,0,0,0,0,1,0,0,0.544246,28,1835,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,0
279975,93,66948450,74.4845,-0.451596,0,0,0,74.4845,8,0,0,0,121.696,22.9557,22.3957,0,0,0,0,2,0,0,0.557528,48,2343,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
279975,93,65452584,79.8096,-2.67309,59.4103,-2.90556,0.231935,20.3993,6,3,2,256.151,293.909,128.692,83.5935,0,1,1,77.6508,1,1,0,0.929115,29,2375,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
279975,93,66216930,156.028,-1.1993,79.9774,-1.07842,0.100167,76.0504,13,5,3,798.44,907.078,383.104,260.892,2,0,2,138.801,3,2,0,0.930611,37,2475,5,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0
279975,93,65540563,53.6475,-1.8366,69.7983,-0.459594,0.490022,-16.1508,4,2,2,142.439,171.393,88.0651,54.3742,1,0,1,20.0093,0,0,0,0.536749,28,2066,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
279975,93,65563606,141.711,-2.00208,198.85,-1.80952,0.619798,-57.1388,6,2,2,320.831,375.89,251.384,69.4468,0,1,1,57.0859,2,0,0,0.82635,25,1612,2,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
279975,93,66298722,25.7175,0.938262,0,0,0,25.7175,8,0,0,0,125.708,23.6476,18.6552,0,0,0,0,0,0,0,0.532329,34,2216,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,0
279975,93,65576422,47.1696,-2.38992,0,0,0,47.1696,15,0,0,0,269.13,27.9801,24.2484,0,0,0,0,2,0,0,0.552389,41,2572,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
279975,93,65773993,56.3875,2.9385,74.7699,-2.86081,0.0764661,-18.3824,12,6,4,977.817,1070.12,448.719,285.483,1,1,2,48.7999,2,1,0,0.9137,33,2325,5,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0
279975,93,66812948,74.2832,0.577987,43.6236,0.0440981,1,30.6596,3,1,0,43.6236,71.2901,43.6236,17.1922,0,0,0,0,0,0,0,0.464631,25,1579,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,1,1,1,1,1,1,0
279975,93,66834982,5.77363,-1.69635,34.2832,2.34882,1,-28.5095,11,1,0,34.2832,158.035,34.2832,17.6866,0,0,0,0,1,0,0,0.556025,38,2655,3,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,0
279975,93,65579159,109.796,-1.13106,148.31,-1.19327,0.793579,-38.5144,9,3,1,186.888,265.714,115.185,36.3504,0,0,0,0,1,0,0,0.607873,27,1797,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
279975,93,65569367,71.2368,-1.09315,103.868,-1.3323,1,-32.6307,6,1,1,103.868,177.425,103.868,20.2109,1,0,1,331.449,2,0,0,0.715287,45,2232,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,-1,1,1,0
279975,93,66224851,106.16,-1.46406,135.536,-1.83707,0.598376,-29.3766,8,3,3,226.507,314.407,99.7398,69.8325,2,2,4,167.439,2,1,0,0.874788,33,1976,3,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
279975,93,65810130,65.5795,1.04521,0,0,0,65.5795,5,0,0,0,85.872,21.7913,19.4699,0,0,0,0,2,0,0,0.554305,32,2051,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
279975,93,65792277,74.2346,-0.0889743,0,0,0,74.2346,5,0,0,0,57.2571,13.6114,11.4045,0,0,0,0,1,0,0,0.553024,34,2054,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
