run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,HLT_PFMET120_PFMHT120_IDTight,HLT_PFMETNoMu120_PFMHTNoMu_IDTight,HLT_PFMET110_PFMHT110_IDTight,HLT_PFMET170_HBHECleaned,HLT_PFMET170_NotCleaned,HLT_PFHT800,HLT_PFHT900,HLT_IsoMu20,HLT_IsoMu24,HLT_IsoTkMu24,HLT_Mu50,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status,generator_weight,generator_weight_status,MET_fraction,N_objects,S_event_proxy,high_MET,high_multiplicity,B_event,B_event_z
279975,93,65677111,35.6533,1.6028200000000001,30.7314,2.57218,1.0,4.92197,7,1,0,30.7314,105.675,30.7314,16.5354,0,0,0,0.0,2,0,0,0.837714,41,2393,2,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,0,0.5291008196222584,1,0.6931471805599453,0,0,-4.2304199330508245,-0.947902500247606
279975,93,65964533,41.6474,0.494569,45.1859,-0.8396020000000001,0.122174,-3.5385400000000002,16,4,3,369.849,577.471,157.66299999999998,97.4005,0,1,1,12.9475,4,1,0,0.942666,54,2817,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.10096427508215829,5,1.9459101490553132,0,0,5.151632722488024,1.137849550561149
279975,93,65685177,82.7772,1.7029299999999998,58.3526,1.7535599999999998,0.21334099999999998,24.4246,11,2,2,273.518,431.842,156.252,117.26700000000001,0,0,0,0.0,1,0,0,0.554924,35,1971,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.2316773357156771,2,1.0986122886681096,0,0,-0.31185906589234774,-0.07675557057549678
279975,93,66129843,24.1333,-1.25429,33.9137,-1.66705,1.0,-9.78036,5,1,0,33.9137,95.73899999999999,33.9137,24.5756,0,0,0,0.0,2,0,0,0.672075,28,1888,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,0,0.40871339780175114,1,0.6931471805599453,0,0,-4.802140514205905,-1.075003404326394
279975,93,65523896,10.5144,-2.2398599999999997,39.314,-2.60375,0.0587592,-28.7996,5,3,3,669.07,692.113,315.12,296.45599999999996,1,0,1,143.874,2,1,1,0.978001,29,1847,6,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0.015449075823659782,4,1.791759469228055,0,0,4.8575247872018155,1.0724655400780927
279975,93,65795766,87.4616,-2.15251,56.9273,-2.1949,1.0,30.5343,6,1,1,56.9273,135.22299999999998,56.9273,22.2925,0,0,0,0.0,2,0,0,0.771875,30,2013,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.6015699960588463,1,0.6931471805599453,0,0,-2.1211958651220977,-0.478994619763657
279975,93,66030131,40.0557,1.36481,0.0,0.0,0.0,40.0557,5,0,0,0.0,91.6623,29.2355,20.5277,0,0,0,0.0,2,0,0,0.556756,24,1932,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,0,0.9756428461821379,0,0.0,0,0,-4.508488342450744,-1.00972071599047
279975,93,66551474,106.568,-2.11365,0.0,0.0,0.0,106.568,16,0,0,0.0,259.349,29.8295,24.3718,0,0,0,0.0,2,1,0,0.9457639999999999,48,2736,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.990703554960583,0,0.6931471805599453,0,0,-0.48488534253762794,-0.11522155713587268
279975,93,66419508,169.93099999999998,-0.00338565,103.633,0.371192,0.309861,66.2981,13,4,2,334.45099999999996,482.744,200.107,62.6787,0,0,0,0.0,4,1,1,0.9954350000000001,24,1864,2,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.3362426837520925,4,1.791759469228055,0,0,5.936211216236788,1.312271530743794
279975,93,65439733,23.1758,-2.87182,127.64399999999999,-2.57154,1.0,-104.469,6,1,1,127.64399999999999,216.24599999999998,127.64399999999999,25.1687,0,0,0,0.0,1,0,0,0.5524020000000001,31,2022,3,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.15265334297634434,1,0.6931471805599453,0,0,-4.358422608508674,-0.9763591560187287
279975,93,66404598,75.6209,-1.33631,99.6029,-1.73318,1.0,-23.982,12,1,1,99.6029,297.404,99.6029,28.1656,0,0,0,0.0,4,0,0,0.761703,28,2232,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.4291185413094032,1,0.6931471805599453,0,0,-2.679572581055706,-0.6031290094480742
279975,93,66917174,22.9374,0.329102,90.3422,0.636935,0.527492,-67.4047,5,2,1,171.267,216.076,130.778,40.4897,2,0,2,34.5579,3,1,1,0.9876870000000001,23,1758,4,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.11750452346361046,4,1.791759469228055,0,0,1.7914249021912962,0.39083174863164294
279975,93,65933430,60.6689,-2.5491,32.3452,2.72568,1.0,28.3238,9,1,0,32.3452,163.937,32.3452,24.0307,0,0,0,0.0,5,0,0,0.783423,49,2891,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.6453170322323992,1,0.6931471805599453,0,0,-3.4093876257955547,-0.7653763642823662
279975,93,66715574,31.3143,2.99281,0.0,0.0,0.0,31.3143,3,0,0,0.0,37.5975,13.6015,12.6942,0,0,0,0.0,1,0,0,0.753393,19,1380,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,0,0.9690539482520122,0,0.0,0,0,-4.684939517206593,-1.0489481018437514
279975,93,66133813,68.6639,0.42257700000000004,0.0,0.0,0.0,68.6639,3,0,0,0.0,37.2384,14.1423,12.9941,0,0,0,0.0,1,0,0,0.555322,27,1701,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,0,0.9856453629498205,0,0.0,0,0,-3.9676516184786896,-0.8894856941254586
279975,93,65484664,214.304,1.2475,265.428,0.9424110000000001,0.335894,-51.1241,5,2,2,790.2130000000001,829.645,500.24699999999996,289.967,0,2,2,599.68,1,0,0,0.7601,27,1752,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.2131281718757614,4,1.6094379124341003,0,0,7.152894947475486,1.5827561124007292
