key,size_bytes,size_gb,uri,url,role,family,local_path
mc_364193.Wtaunu_PTV280_500_CVetoBVeto.1lep.root,88639862,0.088639862,root://eospublic.cern.ch//eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-2-1lep/tmp2/mc_364193.Wtaunu_PTV280_500_CVetoBVeto.1lep.root,https://eospublic.cern.ch/eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-2-1lep/tmp2/mc_364193.Wtaunu_PTV280_500_CVetoBVeto.1lep.root,sm_mc,Wjets,D:\cern_open_data\atlas_nframe_q99_analogue\mc_364193.Wtaunu_PTV280_500_CVetoBVeto.1lep.root
mc_364194.Wtaunu_PTV280_500_CFilterBVeto.1lep.root,56933180,0.05693318,root://eospublic.cern.ch//eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-2-1lep/tmp2/mc_364194.Wtaunu_PTV280_500_CFilterBVeto.1lep.root,https://eospublic.cern.ch/eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-2-1lep/tmp2/mc_364194.Wtaunu_PTV280_500_CFilterBVeto.1lep.root,sm_mc,Wjets,D:\cern_open_data\atlas_nframe_q99_analogue\mc_364194.Wtaunu_PTV280_500_CFilterBVeto.1lep.root
mc_364195.Wtaunu_PTV280_500_BFilter.1lep.root,51529004,0.051529004,root://eospublic.cern.ch//eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-2-1lep/tmp2/mc_364195.Wtaunu_PTV280_500_BFilter.1lep.root,https://eospublic.cern.ch/eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-2-1lep/tmp2/mc_364195.Wtaunu_PTV280_500_BFilter.1lep.root,sm_mc,Wjets,D:\cern_open_data\atlas_nframe_q99_analogue\mc_364195.Wtaunu_PTV280_500_BFilter.1lep.root
mc_364196.Wtaunu_PTV500_1000.1lep.root,113754993,0.113754993,root://eospublic.cern.ch//eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-2-1lep/tmp2/mc_364196.Wtaunu_PTV500_1000.1lep.root,https://eospublic.cern.ch/eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-2-1lep/tmp2/mc_364196.Wtaunu_PTV500_1000.1lep.root,sm_mc,Wjets,D:\cern_open_data\atlas_nframe_q99_analogue\mc_364196.Wtaunu_PTV500_1000.1lep.root
mc_364197.Wtaunu_PTV1000_E_CMS.1lep.root,96056452,0.096056452,root://eospublic.cern.ch//eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-2-1lep/tmp2/mc_364197.Wtaunu_PTV1000_E_CMS.1lep.root,https://eospublic.cern.ch/eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-2-1lep/tmp2/mc_364197.Wtaunu_PTV1000_E_CMS.1lep.root,sm_mc,Wjets,D:\cern_open_data\atlas_nframe_q99_analogue\mc_364197.Wtaunu_PTV1000_E_CMS.1lep.root
mc_364110.Zmumu_PTV280_500_CFilterBVeto.1lep.root,53198485,0.053198485,root://eospublic.cern.ch//eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-1-1lep/tmp1/mc_364110.Zmumu_PTV280_500_CFilterBVeto.1lep.root,https://eospublic.cern.ch/eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-1-1lep/tmp1/mc_364110.Zmumu_PTV280_500_CFilterBVeto.1lep.root,sm_mc,Zjets,D:\cern_open_data\atlas_nframe_q99_analogue\mc_364110.Zmumu_PTV280_500_CFilterBVeto.1lep.root
mc_364112.Zmumu_PTV500_1000.1lep.root,180171637,0.180171637,root://eospublic.cern.ch//eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-1-1lep/tmp1/mc_364112.Zmumu_PTV500_1000.1lep.root,https://eospublic.cern.ch/eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-1-1lep/tmp1/mc_364112.Zmumu_PTV500_1000.1lep.root,sm_mc,Zjets,D:\cern_open_data\atlas_nframe_q99_analogue\mc_364112.Zmumu_PTV500_1000.1lep.root
mc_364113.Zmumu_PTV1000_E_CMS.1lep.root,68166527,0.068166527,root://eospublic.cern.ch//eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-1-1lep/tmp1/mc_364113.Zmumu_PTV1000_E_CMS.1lep.root,https://eospublic.cern.ch/eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-1-1lep/tmp1/mc_364113.Zmumu_PTV1000_E_CMS.1lep.root,sm_mc,Zjets,D:\cern_open_data\atlas_nframe_q99_analogue\mc_364113.Zmumu_PTV1000_E_CMS.1lep.root
mc_364124.Zee_PTV280_500_CFilterBVeto.1lep.root,73603199,0.073603199,root://eospublic.cern.ch//eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-1-1lep/tmp1/mc_364124.Zee_PTV280_500_CFilterBVeto.1lep.root,https://eospublic.cern.ch/eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-1-1lep/tmp1/mc_364124.Zee_PTV280_500_CFilterBVeto.1lep.root,sm_mc,Zjets,D:\cern_open_data\atlas_nframe_q99_analogue\mc_364124.Zee_PTV280_500_CFilterBVeto.1lep.root
mc_364126.Zee_PTV500_1000.1lep.root,244506464,0.244506464,root://eospublic.cern.ch//eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-1-1lep/tmp1/mc_364126.Zee_PTV500_1000.1lep.root,https://eospublic.cern.ch/eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-1-1lep/tmp1/mc_364126.Zee_PTV500_1000.1lep.root,sm_mc,Zjets,D:\cern_open_data\atlas_nframe_q99_analogue\mc_364126.Zee_PTV500_1000.1lep.root
