run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status
281797,564,786242234,65.4552,-3.01561,76.1827,-2.66265,0.0891106,-10.7275,9,2,2,854.922,942.228,465.439,389.483,0,0,0,0,4,0,0,0.792464,22,1729,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
281797,564,785586406,75.1811,-0.28684,172.136,2.47145,0.518767,-96.9545,9,4,4,331.817,421.02,107.748,89.7648,0,0,0,0,4,0,0,0.743754,28,1873,5,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,785097013,108.686,0.445336,73.1419,0.432081,0.282885,35.544,2,2,2,258.557,258.557,165.743,92.8143,1,0,1,22.5502,2,1,0,0.924208,19,1409,5,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
281797,564,784923565,87.8466,-2.78765,146.553,-2.43753,0.27883,-58.7069,8,3,3,525.601,603.213,329.444,124.022,0,0,0,0,1,0,0,0.544059,20,1769,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
281797,564,785478945,67.8136,2.97336,114.957,-3.01125,0.414452,-47.1433,9,2,2,277.371,364.974,192.977,84.394,0,0,0,0,1,1,0,0.881757,17,1510,4,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,784929987,71.9932,2.5836,53.145,2.11278,0.0837811,18.8482,9,3,3,634.331,735.63,291.067,274.357,0,0,0,0,0,0,0,0.526817,23,1809,2,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,784929991,24.3545,-1.21889,176.76,1.06937,0.353837,-152.405,10,4,4,499.551,589.135,227.592,110.499,0,1,1,40.982,0,0,0,0.536466,22,1684,2,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,785113951,26.7227,2.7251,256.292,2.67996,0.994353,-229.569,6,2,1,257.747,315.426,213.516,44.2315,0,1,1,12.7323,1,0,0,0.552776,22,1636,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,785615608,26.5315,0.644354,214.722,-0.530731,0.980232,-188.191,9,3,2,219.053,309.635,100.641,68.7916,0,0,0,0,2,0,0,0.716672,32,2255,2,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,785305501,32.3678,0.80929,111.016,-2.59032,0.336142,-78.6479,7,5,3,330.264,368.699,132.793,57.5849,0,2,2,35.6184,0,0,0,0.353605,34,1706,3,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,785243013,7.53135,1.76426,193.995,2.98242,0.60614,-186.464,12,5,2,320.05,412.783,140.956,71.6868,0,1,1,63.0247,0,0,0,0.53542,22,1754,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,784814943,17.0302,1.94867,124.31,-1.48182,0.396431,-107.28,8,4,4,313.572,390.331,132.818,75.813,0,0,0,0,0,0,0,0.340487,22,1732,2,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,785369156,39.4347,0.882277,238.461,0.350267,0.992942,-199.026,4,2,2,240.156,273.723,153.772,86.3835,0,0,0,0,1,0,0,0.754711,19,1178,2,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,785836941,16.9831,-0.217929,191.395,-1.28069,0.893048,-174.411,9,2,2,214.316,324.315,139.365,74.9515,0,0,0,0,1,0,0,0.558024,28,1891,2,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,784358834,94.0946,-1.86905,161.461,-1.63954,0.493288,-67.3667,8,3,2,327.316,412.153,210.856,77.7361,0,1,1,148.721,0,0,0,0.533924,28,2033,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
281797,564,785157164,8.77965,2.97336,150.713,1.52008,0.274738,-141.933,14,6,5,548.569,653.833,200.585,88.7481,0,0,0,0,2,0,0,0.737084,22,2102,5,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,785120955,117.732,-1.76624,103.182,-0.881705,0.249335,14.5501,10,5,4,413.828,488.763,145.305,114.626,0,2,2,126.58,1,0,0,0.666713,28,2056,3,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
281797,564,785867736,56.5438,-2.13705,0,0,0,56.5438,4,0,0,0,49.6698,14.7972,12.0326,0,0,0,0,0,0,0,0.52968,17,1199,1,1,1,1,1,1,1,0,0,-1,1,1,1,1,1,1
281797,564,784835222,15.7913,1.71152,202.283,2.94037,0.932698,-186.492,6,2,2,216.88,266.94,130.728,86.1517,0,1,1,91.8553,1,0,0,0.632291,30,1912,2,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,785278052,101.74,-0.579249,18.0732,-2.8549,0.077697,83.6668,9,2,2,232.611,346.74,119.801,112.81,0,1,1,17.6101,2,1,0,0.933986,31,1921,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
281797,564,784711412,50.0751,-1.88096,221.973,-2.82954,0.737548,-171.898,12,4,3,300.961,423.48,121.528,80.3643,0,0,0,0,0,0,0,0.474184,18,1777,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,784434015,48.4839,2.48125,125.565,2.15984,0.454206,-77.081,6,4,2,276.449,298.12,108.104,84.435,0,0,0,0,0,0,0,0.513572,24,1938,2,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,785134816,57.213,-0.029487,15.8127,0.718569,0.1477,41.4003,5,2,1,107.06,155.13,59.6803,47.3796,0,0,0,0,1,0,0,0.626296,26,1829,0,1,1,1,1,1,1,0,0,-1,1,1,1,1,1,1
281797,564,785287240,68.2607,-2.2851,207.075,0.183183,0.799812,-138.814,7,3,3,258.905,325.989,150.542,54.4564,1,0,1,10.185,0,0,0,0.528208,33,1861,3,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,785000065,44.5301,1.8813,10.6772,0.542188,0.0713389,33.8529,10,2,2,149.668,253.449,79.1143,70.5542,0,1,1,15.6882,2,0,0,0.554615,43,2302,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1
281797,564,785312346,118.67,-1.72604,211.399,-1.72959,0.911506,-92.7285,10,3,2,231.923,329.96,141.415,54.3266,0,0,0,0,3,0,0,0.700378,34,2256,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
281797,564,785898683,129.028,-2.57106,108.178,-2.66931,0.26528,20.8495,7,3,3,407.788,468.586,237.736,115.169,0,0,0,0,0,0,0,0.530238,26,1750,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,785380093,49.9677,1.58869,122.908,2.03703,0.482186,-72.9403,10,3,2,254.897,366.008,164.456,50.8034,0,0,0,0,3,1,1,0.953572,25,1825,4,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,785361408,50.6292,1.14472,266.681,0.0132203,0.988309,-216.052,9,2,2,269.836,376.052,189.568,80.2683,0,0,0,0,2,0,0,0.784107,24,2077,2,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,785370166,27.6637,-2.55897,256.844,1.414,0.997363,-229.18,6,2,2,257.523,329.142,203.904,53.6185,0,2,2,100.009,2,0,0,0.672097,25,1858,2,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
281797,564,786289380,28.7634,1.07188,171.961,2.12459,0.785662,-143.197,8,3,2,218.874,284.315,99.2086,85.6023,0,0,0,0,2,0,0,0.669801,27,1984,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,785707133,103.253,-0.358998,73.1739,-0.538344,0.174166,30.0796,10,3,3,420.139,537.794,241.375,100.205,0,0,0,0,2,0,0,0.778962,32,2093,2,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
281797,564,784208880,304.167,-3.09164,350.563,-2.97459,0.991744,-46.3959,3,2,2,353.481,376.802,199.025,154.456,0,0,0,0,0,0,0,0.235522,24,1637,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
281797,564,785689897,37.5855,2.70984,172.035,3.07732,0.596936,-134.449,9,4,2,288.196,357.101,124.134,98.1814,0,0,0,0,1,0,0,0.542673,26,1770,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,785427102,50.1288,-0.467608,138.297,-0.138467,1,-88.1681,6,1,1,138.297,218.271,138.297,29.4882,0,0,0,0,1,0,0,0.552284,23,1950,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
281797,564,785795021,36.8415,-2.05336,115.868,-2.93024,0.260646,-79.0267,10,6,3,444.543,503.4,166.727,91.6864,0,0,0,0,0,0,0,0.53133,27,1886,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
281797,564,785141524,84.1489,1.83236,92.3812,2.00044,0.129297,-8.23226,7,2,2,714.49,805.593,398.262,316.228,1,1,2,115.856,4,0,0,0.812101,22,1851,3,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
281797,564,784298230,49.9051,-1.93896,232.262,-1.65958,0.784378,-182.357,11,3,3,296.11,417.389,123.64,112.439,0,1,1,12.5914,2,1,0,0.910339,22,1745,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,785998254,220.526,3.09765,243.646,3.06688,0.607602,-23.1201,7,2,2,400.996,491.742,322.149,78.8474,0,1,1,26.4249,1,0,0,0.78489,21,1574,4,1,1,1,1,1,1,0,0,1,1,1,-1,1,1,1
281797,564,786045270,38.5,2.71392,20.7953,-1.57467,0.0356071,17.7048,15,6,4,584.019,708.859,167.476,160.036,0,1,1,14.7045,1,0,0,0.675426,37,2421,2,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,785533388,87.8547,-0.224246,183.986,-0.108644,0.573548,-96.1317,7,3,3,320.787,380.473,150.806,116.401,1,1,2,38.5069,0,0,0,0.316701,18,1594,3,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,784854194,73.1529,-1.68399,73.8483,-2.07849,0.23286,-0.695421,10,2,2,317.136,416.053,194.074,123.062,0,0,0,0,4,0,0,0.71487,27,1959,4,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
281797,564,785759400,14.9422,2.50036,137.601,2.28788,0.672894,-122.659,7,3,2,204.491,284.015,119.455,50.4581,0,1,1,11.6964,1,0,0,0.787021,22,1572,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,784464670,29.7988,2.40283,0,0,0,29.7988,1,0,0,0,12.6997,12.6997,0,0,0,0,0,0,0,0,-10,17,1266,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
281797,564,784583220,18.4788,-2.78889,102.121,-2.82178,0.32449,-83.642,10,4,3,314.712,404.517,113.337,88.7543,0,0,0,0,2,1,1,0.997826,23,1612,5,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,784669655,25.0061,-2.05836,80.7079,-2.13992,0.401264,-55.7018,7,4,1,201.134,250.412,98.7637,38.1127,0,1,1,64.7999,0,0,0,0.469982,33,2378,3,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,785797357,54.6168,-1.29544,129.904,-2.05543,0.328001,-75.2868,3,2,2,396.046,406.604,219.552,176.494,0,1,1,82.0444,0,0,0,0.531441,25,1617,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,785465214,72.5866,2.05916,175.572,-1.49777,0.787148,-102.986,6,2,2,223.049,287.589,132.887,90.1619,1,2,3,52.3761,2,2,1,0.997855,20,1540,4,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,785432942,85.0658,-1.43841,77.6876,-1.83255,0.393103,7.37823,11,3,2,197.626,306.24,79.8869,73.617,0,1,1,13.7975,2,0,0,0.617831,41,2585,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
281797,564,785041661,88.41,1.81535,32.5295,1.80012,0.0619505,55.8805,7,3,3,525.089,599.416,267.823,139.5,2,0,2,53.6858,2,0,0,0.692031,27,1725,2,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,785285190,47.9034,0.413843,58.5861,0.278854,0.106142,-10.6827,9,3,2,551.961,631.011,297.413,222.36,3,1,4,54.7573,1,0,0,0.736009,30,1936,3,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
281797,564,786195799,121.695,2.23535,119.534,2.29399,0.343457,2.16121,4,2,2,348.032,376.419,233.764,114.268,0,1,1,28.6024,0,0,0,0.52995,33,1708,4,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
281797,564,785684214,23.2769,-0.45314,59.2801,-1.31413,0.184538,-36.0033,11,3,2,321.235,443.4,147.525,143.021,0,1,1,17.5947,2,0,0,0.564692,28,1910,6,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
281797,564,785576754,139.466,-0.19501,136.069,-0.199934,0.394843,3.39714,8,2,2,344.615,423.314,239.925,104.69,2,1,3,67.7388,1,0,0,0.552293,27,2038,3,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
281797,564,785646255,42.9983,-0.476502,274.208,-1.90038,0.711467,-231.21,5,3,3,385.413,427.751,226.182,103.532,0,0,0,0,2,0,0,0.54558,22,1751,2,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,784324073,58.7569,-0.0647994,173.721,-0.43166,0.790179,-114.964,5,3,3,219.85,243.974,103.174,59.2011,0,0,0,0,1,0,0,0.556725,24,1688,3,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,784690243,73.5814,0.0304123,49.0476,-0.00186506,1,24.5337,2,1,0,49.0476,60.49,49.0476,11.4424,0,0,0,0,0,0,0,0.141584,25,1554,1,1,1,1,1,1,1,0,1,1,1,1,1,1,-1,1
281797,564,785470465,33.6679,-0.894119,144.085,-1.95444,0.533522,-110.418,5,5,1,270.065,270.065,116.088,48.7947,0,0,0,0,0,0,0,0.517923,12,1144,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,786223241,58.1812,-1.60209,112.617,0.247955,0.211935,-54.4355,13,4,4,531.373,669.759,183.647,178.999,0,2,2,146.911,1,0,0,0.752894,31,1999,7,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,785108386,16.0822,2.28663,172.496,2.20991,0.707224,-156.414,8,4,3,243.906,317.087,93.2727,58.3956,0,1,1,32.5314,1,0,0,0.574169,18,1409,2,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,786233755,65.6384,2.96381,177.731,0.760987,0.828694,-112.092,9,2,2,214.471,299.081,114.256,100.215,0,0,0,0,2,0,0,0.781642,28,1909,3,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,784373718,78.8837,1.86996,183.095,1.2776,0.444229,-104.212,3,2,2,412.164,429.675,226.604,185.56,3,0,3,44.8104,0,0,0,0.535188,22,1573,2,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,785754875,30.6903,-1.95564,164.244,-2.92752,0.997517,-133.554,11,2,1,164.653,297.381,129.684,34.9695,0,0,0,0,0,0,0,0.526567,15,1449,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,785680708,7.69239,-1.80369,138.337,2.58917,0.536489,-130.644,8,3,3,257.856,346.657,117.392,86.36,0,0,0,0,1,1,0,0.861618,30,1825,2,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,785786412,46.7989,1.92219,153.498,-1.38962,0.574322,-106.699,17,4,3,267.268,475.571,90.3288,82.4806,0,0,0,0,3,1,0,0.856245,32,2294,3,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,785528315,87.0316,-0.17988,129.033,-0.296892,0.89002,-42.0017,3,2,1,144.978,160.068,108.577,36.4008,0,0,0,0,1,0,0,0.721887,19,1708,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1
281797,564,785047072,29.9957,2.65534,158.142,-2.25011,0.995087,-128.146,6,2,1,158.923,223.064,115.208,43.7143,0,0,0,0,3,0,0,0.797243,32,1970,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
281797,564,786279894,29.3147,-2.14309,28.1048,-0.926857,0.0916647,1.20992,7,3,2,306.604,368.822,139.412,125.524,0,0,0,0,1,0,0,0.556178,33,2130,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
