mode,sample_validation_id,region,relative_independent_shape_uncertainty,sideband_anchor_q90_95,upper_observed_total,upper_expected_total,obs_over_exp_upper,background_only_p,background_only_Z,fit_mu_trace,normalisation_scope
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.1,294.0,554.0,294.15288181037204,1.883374375224175,5.859385473572713e-10,6.084044973625092,0.6976340253685395,exact_completed_only
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.2,294.0,554.0,294.15288181037204,1.883374375224175,3.278940542082736e-05,3.9917813985283783,0.6193460064053355,exact_completed_only
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.3,294.0,554.0,294.15288181037204,1.883374375224175,0.0012260153621648003,3.0291990453213913,0.6168826182315756,exact_completed_only
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.4,294.0,554.0,294.15288181037204,1.883374375224175,0.006186081702177262,2.5013477281185676,0.6412742996081727,exact_completed_only
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.5,294.0,554.0,294.15288181037204,1.883374375224175,0.014907006132248785,2.172552525960137,0.677503803719205,exact_completed_only
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.1,1240.0,1250.0,1240.6448076355828,1.0075405888186857,0.4560103564039256,0.11049008492634729,0.007174644719001272,exact_completed_only
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.2,1240.0,1250.0,1240.6448076355828,1.0075405888186857,0.4741176158613805,0.06492309564012724,0.007057874513102963,exact_completed_only
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.3,1240.0,1250.0,1240.6448076355828,1.0075405888186857,0.48217965647655925,0.044683842121029854,0.007030066962641088,exact_completed_only
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.4,1240.0,1250.0,1240.6448076355828,1.0075405888186857,0.48658633942333057,0.033629398578046414,0.00701791823738073,exact_completed_only
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.5,1240.0,1250.0,1240.6448076355828,1.0075405888186857,0.4893094059749618,0.026800553247476818,0.007011289762803789,exact_completed_only
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.1,878.0,1147.0,878.4565654064852,1.305699160514843,2.6360704878133494e-05,4.043223105241299,0.3071844073120548,exact_completed_only
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.2,878.0,1147.0,878.4565654064852,1.305699160514843,0.004369349768811422,2.6221108786418066,0.3203678302409529,exact_completed_only
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.3,878.0,1147.0,878.4565654064852,1.305699160514843,0.02659225693438801,1.9334197202688765,0.33359601450069665,exact_completed_only
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.4,878.0,1147.0,878.4565654064852,1.305699160514843,0.061494232656189605,1.542350409634724,0.34828256710549116,exact_completed_only
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.5,878.0,1147.0,878.4565654064852,1.305699160514843,0.09811685989002106,1.292356482734072,0.3611033604386695,exact_completed_only
