mode,process_family,record_id,microband,sm_weight
exact_plus_unit_weight_metadata,ZNuNu,74899,q90_95,0.019896433564787572
exact_plus_unit_weight_metadata,ZNuNu,74899,q95_97,0.008907608332352594
exact_plus_unit_weight_metadata,ZNuNu,74899,q97_98,0.005744158644227375
exact_plus_unit_weight_metadata,ZNuNu,74899,q98_99,0.0066598940802636225
exact_plus_unit_weight_metadata,ZNuNu,74899,q99_100,0.013652782864540426
exact_plus_unit_weight_metadata,ZNuNu,74901,q90_95,0.6613531968846702
exact_plus_unit_weight_metadata,ZNuNu,74901,q95_97,0.36653309706861237
exact_plus_unit_weight_metadata,ZNuNu,74901,q97_98,0.23638728723990218
exact_plus_unit_weight_metadata,ZNuNu,74901,q98_99,0.27091576739853956
exact_plus_unit_weight_metadata,ZNuNu,74901,q99_100,0.26029161965742037
exact_plus_unit_weight_metadata,ZNuNu,74903,q90_95,0.4361846125066352
exact_plus_unit_weight_metadata,ZNuNu,74903,q95_97,0.1740544367213977
exact_plus_unit_weight_metadata,ZNuNu,74903,q97_98,0.15098698125229681
exact_plus_unit_weight_metadata,ZNuNu,74903,q98_99,0.2159952648470357
exact_plus_unit_weight_metadata,ZNuNu,74903,q99_100,0.35230295625535923
exact_plus_unit_weight_metadata,ZNuNu,74905,q90_95,0.5123901878452936
exact_plus_unit_weight_metadata,ZNuNu,74905,q95_97,0.1837921325966814
exact_plus_unit_weight_metadata,ZNuNu,74905,q97_98,0.2005005082872888
exact_plus_unit_weight_metadata,ZNuNu,74905,q98_99,0.2088546961325925
exact_plus_unit_weight_metadata,ZNuNu,74905,q99_100,0.5179596464088294
exact_plus_unit_weight_metadata,diboson,72753,q90_95,40.83371582278475
exact_plus_unit_weight_metadata,diboson,72753,q95_97,19.46446803797465
exact_plus_unit_weight_metadata,diboson,72753,q97_98,11.071532278480994
exact_plus_unit_weight_metadata,diboson,72753,q98_99,11.607251582278462
exact_plus_unit_weight_metadata,diboson,72753,q99_100,27.678830696202485
exact_plus_unit_weight_metadata,diboson,75592,q90_95,103.83468427454386
exact_plus_unit_weight_metadata,diboson,75592,q95_97,51.91734213727193
exact_plus_unit_weight_metadata,diboson,75592,q97_98,31.631758123370975
exact_plus_unit_weight_metadata,diboson,75592,q98_99,39.02396246741963
exact_plus_unit_weight_metadata,diboson,75592,q99_100,94.03571572545611
exact_plus_approx_pending,QCD,63102,q90_95,5.271067879075455
exact_plus_approx_pending,QCD,63102,q95_97,2.1852046109332415
exact_plus_approx_pending,QCD,63102,q97_98,1.218103921635084
exact_plus_approx_pending,QCD,63102,q98_99,1.6315210101900215
exact_plus_approx_pending,QCD,63102,q99_100,3.3073367084395007
exact_plus_approx_pending,QCD,63118,q90_95,8750.16330631627
exact_plus_approx_pending,QCD,63118,q95_97,3416.0819133608265
exact_plus_approx_pending,QCD,63118,q97_98,1713.7155113537701
exact_plus_approx_pending,QCD,63118,q98_99,1702.3664020070564
exact_plus_approx_pending,QCD,63118,q99_100,1634.271745926774
exact_plus_approx_pending,QCD,63126,q90_95,682.9928076647439
exact_plus_approx_pending,QCD,63126,q95_97,289.35596253196854
exact_plus_approx_pending,QCD,63126,q97_98,160.6489272498916
exact_plus_approx_pending,QCD,63126,q98_99,158.76999242825545
exact_plus_approx_pending,QCD,63126,q99_100,162.52786207152778
exact_plus_approx_pending,TTAssoc,68072,q90_95,0.22421659146289113
exact_plus_approx_pending,TTAssoc,68072,q95_97,0.08452143761951918
exact_plus_approx_pending,TTAssoc,68072,q97_98,0.04578244537723955
exact_plus_approx_pending,TTAssoc,68072,q98_99,0.07278234906125262
exact_plus_approx_pending,TTAssoc,68072,q99_100,0.09978225274526568
exact_plus_approx_pending,TTAssoc,68082,q90_95,1.8069306593180332
exact_plus_approx_pending,TTAssoc,68082,q95_97,0.839841010668945
exact_plus_approx_pending,TTAssoc,68082,q97_98,0.5853437347086586
exact_plus_approx_pending,TTAssoc,68082,q98_99,0.7634918278808591
exact_plus_approx_pending,TTAssoc,68082,q99_100,1.4506344729736325
exact_plus_approx_pending,TTTop,67710,q90_95,0.020414057651822397
exact_plus_approx_pending,TTTop,67710,q95_97,0.0114517884388272
exact_plus_approx_pending,TTTop,67710,q97_98,0.0069706538323296
exact_plus_approx_pending,TTTop,67710,q98_99,0.009128237161383999
exact_plus_approx_pending,TTTop,67710,q99_100,0.0358490768519808
exact_plus_approx_pending,TTTop,67722,q90_95,0.0434549302938282
