mode,sample_validation_id,region,relative_independent_shape_uncertainty,microband,observed,expected_from_sm_sideband,obs_over_exp
exact_plus_approx_pending,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.3,q97_98,300.0,297.18044140283604,1.0094876990688024
exact_plus_approx_pending,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.3,q98_99,300.0,298.70454295871536,1.0043369177731711
exact_plus_approx_pending,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.3,q99_100,300.0,298.6532811879464,1.004509305260926
exact_plus_approx_pending,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.4,q95_97,600.0,597.4069557785266,1.004340498878347
exact_plus_approx_pending,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.4,q97_98,300.0,297.18044140283604,1.0094876990688024
exact_plus_approx_pending,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.4,q98_99,300.0,298.70454295871536,1.0043369177731711
exact_plus_approx_pending,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.4,q99_100,300.0,298.6532811879464,1.004509305260926
exact_plus_approx_pending,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.5,q95_97,600.0,597.4069557785266,1.004340498878347
exact_plus_approx_pending,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.5,q97_98,300.0,297.18044140283604,1.0094876990688024
exact_plus_approx_pending,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.5,q98_99,300.0,298.70454295871536,1.0043369177731711
exact_plus_approx_pending,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.5,q99_100,300.0,298.6532811879464,1.004509305260926
