run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status,MET_fraction,N_objects,S_event_proxy,high_MET,high_multiplicity,B_event,B_event_z
284035,95,153058509,25.6942,2.08586,63.6583,-0.847929,0.20723899999999998,-37.9641,11,5,3,307.173,406.365,108.792,60.8257,0,0,0,0.0,1,0,0,0.675659,27,1925,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0.07695934191798415,5,1.791759469228055,0,0,-1.73653060738514,-0.45270008159631936
284035,95,152443558,27.4254,-2.33754,29.9456,2.5101,0.265825,-2.52021,8,2,1,112.652,192.217,63.2391,49.4127,0,0,0,0.0,3,1,0,0.849677,19,1634,2,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0.1943996699684003,2,1.3862943611198906,0,0,-3.6250875229067545,-0.8925048084255203
284035,95,151570479,57.8246,-2.0105299999999997,0.0,0.0,0.0,57.8246,7,0,0,0.0,103.465,19.9631,17.8953,0,0,0,0.0,1,0,0,0.553685,23,1818,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0.983000309394369,0,0.0,0,0,-5.211464440373424,-1.261938242546767
284035,95,153015877,35.6338,-2.2403299999999997,140.493,-2.07697,0.360247,-104.859,8,2,2,389.991,487.67900000000003,264.39,125.601,0,1,1,19.2855,2,0,0,0.5564180000000001,27,1934,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0.08352491463224829,3,1.3862943611198906,0,0,-3.422514012824513,-0.8453297476516991
284035,95,152238574,82.8881,1.74405,132.007,1.4439799999999998,0.19902,-49.1192,6,2,2,663.2860000000001,742.159,387.244,276.04200000000003,1,0,1,25.281999999999996,1,0,0,0.726316,29,2055,3,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0.1109354566760277,3,1.3862943611198906,0,0,-1.7564743850657982,-0.457344563116942
284035,95,152661973,27.5671,1.56692,45.3421,2.4005,0.0468068,-17.775,9,2,2,968.709,1078.97,501.34,467.369,0,0,0,0.0,2,0,0,0.755791,21,1926,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0.027642395120067553,2,1.0986122886681096,0,0,-3.493588883411226,-0.861881572902979
284035,95,153003615,75.7353,0.258125,124.60700000000001,-2.67847,0.9310450000000001,-48.8718,12,2,2,133.836,264.918,77.7735,56.0621,0,1,1,32.8998,3,0,0,0.7293729999999999,40,2200,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0.3596658234051839,3,1.3862943611198906,0,0,-2.114074855151186,-0.5406221046976568
284035,95,152600654,77.1645,1.81437,54.4738,1.65352,0.0813325,22.6907,12,4,3,669.7669999999999,807.471,315.67900000000003,249.942,1,0,1,223.107,4,0,0,0.63866,26,2076,7,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0.10317054436134862,5,1.791759469228055,0,0,0.5522625417208535,0.08031114906234568
284035,95,152885058,3.9736,0.184809,136.065,1.21695,0.953652,-132.092,7,2,2,142.678,212.107,79.2948,63.3832,0,0,0,0.0,2,0,0,0.653166,24,1548,5,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0.026912000953596166,2,1.0986122886681096,0,0,-6.260384142930979,-1.5062093256460425
284035,95,152263101,41.4268,2.2881400000000003,8.5279,2.18111,0.0941381,32.8989,7,2,0,90.5892,158.384,49.3036,41.2856,0,1,1,17.1896,0,0,0,0.5318,26,1841,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0.3114422325133818,3,1.3862943611198906,0,0,-4.34076997212054,-1.0591720247990268
284035,95,152851777,42.4486,0.939058,79.1185,-2.80514,1.0,-36.6699,7,1,1,79.1185,172.30599999999998,79.1185,23.0744,0,0,0,0.0,1,0,0,0.554276,30,1882,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0.3463294799338485,1,0.6931471805599453,0,0,-6.098359103766257,-1.4684771410856161
284035,95,151864227,63.7329,-0.48744,103.22,0.20700100000000002,0.11049400000000001,-39.4871,11,5,5,934.17,1010.41,346.30699999999996,337.93199999999996,0,1,1,13.4617,3,1,1,0.969424,19,1631,7,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0.06380289815957087,6,2.0794415416798357,0,0,4.894170022030195,1.0914490277254785
284035,95,151526097,131.373,-1.8002099999999999,89.1581,-2.03871,0.0973108,42.2148,12,3,2,916.22,1047.22,460.575,413.69300000000004,0,0,0,0.0,7,1,0,0.930592,28,1951,8,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0.12528502479036194,3,1.6094379124341003,0,0,1.5324406198470921,0.3085737703004334
