N_events,mean_B_event_z,mean_HT,mean_MET,mean_MET_fraction,mean_Nbtags_medium,mean_Njets30,mean_Nleptons,mean_S_event_proxy,pseudo_region
12939,-0.2503496289184553,99.38305990416552,29.53019958466647,0.2921771403804527,0.0,1.710874101553443,1.1580493082927583,1.3101371575048482,SR1_low_boundary
8,4.191878832712509,524.346375,185.136125,0.3163980282215634,0.0,3.5,1.375,1.7193107320158125,SR2_medium_MET
2,6.090747900369848,510.3555,287.39750000000004,0.36214086388767486,0.0,3.0,2.0,1.7776740307447065,SR3_high_MET
0,,,,,,,,,SR4_high_MET_high_jets
2004,1.9045005621596787,319.0313589321356,39.16061003992014,0.12150839519265119,0.0,4.4126746506986025,1.8263473053892216,1.9514061852108848,SR5_high_boundary
649,2.972299158938989,434.64602157164904,46.8939746841294,0.10567249241737459,0.0,5.708782742681048,2.1093990755007703,2.1502120824308952,SR6_extreme_boundary
3796,-0.46048925960500237,41.021614673340466,42.3123460218651,0.5395614396741633,0.0,0.934404636459431,0.9625922023182297,1.0314845332966815,SR7_high_MET_fraction
115,3.6635112484193013,498.80717391304313,38.424574521739125,0.07341498382880927,0.0,9.356521739130434,1.5304347826086957,2.460168565152511,SR8_high_multiplicity
