analysis,source_type,url,local_path,download_status,timestamp
ATLAS-SUSY-2016-16-eff,SModelS_metadata,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/bWN/dataInfo.txt,,"failed: HTTPSConnectionPool(host='raw.githubusercontent.com', port=443): Max retries exceeded with url: /SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/bWN/dataInfo.txt (Caused by NewConnectionError(""HTTPSConnection(host='raw.githubusercontent.com', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))",2026-06-04T02:08:18.636798+00:00
ATLAS-SUSY-2016-16-eff,HEPData,https://www.hepdata.net/search/?q=https://arxiv.org/abs/1711.11520,,skipped_no_direct_url,2026-06-04T02:08:18.636798+00:00
ATLAS-SUSY-2016-16-eff,paper_or_aux,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2016-16/,,"failed: HTTPSConnectionPool(host='atlas.web.cern.ch', port=443): Max retries exceeded with url: /Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2016-16/ (Caused by NewConnectionError(""HTTPSConnection(host='atlas.web.cern.ch', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))",2026-06-04T02:08:18.729803+00:00
ATLAS-SUSY-2016-24-eff,SModelS_metadata,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-24-eff/SR2-SF-loose/dataInfo.txt,,"failed: HTTPSConnectionPool(host='raw.githubusercontent.com', port=443): Max retries exceeded with url: /SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-24-eff/SR2-SF-loose/dataInfo.txt (Caused by NewConnectionError(""HTTPSConnection(host='raw.githubusercontent.com', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))",2026-06-04T02:08:18.855789+00:00
ATLAS-SUSY-2016-24-eff,HEPData,https://www.hepdata.net/search/?q=https://arxiv.org/abs/1803.02762,,skipped_no_direct_url,2026-06-04T02:08:18.855789+00:00
ATLAS-SUSY-2016-24-eff,paper_or_aux,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2016-24/,,"failed: HTTPSConnectionPool(host='atlas.web.cern.ch', port=443): Max retries exceeded with url: /Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2016-24/ (Caused by NewConnectionError(""HTTPSConnection(host='atlas.web.cern.ch', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))",2026-06-04T02:08:18.950425+00:00
ATLAS-SUSY-2016-27-eff,SModelS_metadata,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-27-eff/SRyy-SH/dataInfo.txt,,"failed: HTTPSConnectionPool(host='raw.githubusercontent.com', port=443): Max retries exceeded with url: /SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-27-eff/SRyy-SH/dataInfo.txt (Caused by NewConnectionError(""HTTPSConnection(host='raw.githubusercontent.com', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))",2026-06-04T02:08:19.076496+00:00
ATLAS-SUSY-2016-27-eff,HEPData,https://www.hepdata.net/search/?q=https://arxiv.org/abs/1802.03158,,skipped_no_direct_url,2026-06-04T02:08:19.077397+00:00
ATLAS-SUSY-2016-27-eff,paper_or_aux,https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2016-27/,,"failed: HTTPSConnectionPool(host='atlas.web.cern.ch', port=443): Max retries exceeded with url: /Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2016-27/ (Caused by NewConnectionError(""HTTPSConnection(host='atlas.web.cern.ch', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))",2026-06-04T02:08:19.154619+00:00
ATLAS-SUSY-2016-32-eff-trim,SModelS_metadata,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-32-eff-trim/SR1FULL_175/dataInfo.txt,,"failed: HTTPSConnectionPool(host='raw.githubusercontent.com', port=443): Max retries exceeded with url: /SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-32-eff-trim/SR1FULL_175/dataInfo.txt (Caused by NewConnectionError(""HTTPSConnection(host='raw.githubusercontent.com', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))",2026-06-04T02:08:19.263171+00:00
ATLAS-SUSY-2016-32-eff-trim,HEPData,https://www.hepdata.net/search/?q=https://arxiv.org/abs/1902.01636,,skipped_no_direct_url,2026-06-04T02:08:19.263171+00:00
ATLAS-SUSY-2016-32-eff-trim,paper_or_aux,http://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2016-32/,,"failed: HTTPConnectionPool(host='atlas.web.cern.ch', port=80): Max retries exceeded with url: /Atlas/GROUPS/PHYSICS/PAPERS/SUSY-2016-32/ (Caused by NewConnectionError(""HTTPConnection(host='atlas.web.cern.ch', port=80): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))",2026-06-04T02:08:19.357944+00:00
ATLAS-SUSY-2017-03-eff,SModelS_metadata,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2017-03-eff/SR2l_High/dataInfo.txt,,"failed: HTTPSConnectionPool(host='raw.githubusercontent.com', port=443): Max retries exceeded with url: /SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2017-03-eff/SR2l_High/dataInfo.txt (Caused by NewConnectionError(""HTTPSConnection(host='raw.githubusercontent.com', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))",2026-06-04T02:08:19.482949+00:00
