model,auc,pr_auc,delta_auc
standard_CMS_like,0.649419073783445,0.6347594462056557,0.0
standard_plus_trace_axis,0.6659221662834652,0.6423007908414067,0.016503092500020244
standard_plus_BNF,0.7000365631863541,0.6569788056626822,0.05061748940290911
standard_plus_full_NFrame_axes,0.7697384140630172,0.7165136040594386,0.12031934027957225
