event_id,source_file,source_entry,extraction_mode,full_boundary_features_available,jet_only_features_available,MET_pt,MET_phi,N_jets,N_jets_30,N_jets_50,HT,leading_jet_pt,subleading_jet_pt,leading_jet_eta,jet_mass_sum_30,N_leptons,N_muons,N_electrons,N_btags_loose,N_btags_medium,N_btags_tight,N_b_hadron_flavour_proxy,N_PF_candidates,event_weight,missing_MET,missing_leptons,missing_btags
157,0438B51F-9A50-8642-9963-CDB942DD12D9.root,157,uproot_edm_partial_jets,0,1,,,3,3,2,289.1188278198242,177.7785186767578,61.35205841064453,0.21634680032730103,33.2871036529541,,,,,,,0,,1.0,1,1,1
158,0438B51F-9A50-8642-9963-CDB942DD12D9.root,158,uproot_edm_partial_jets,0,1,,,2,2,2,156.8852653503418,103.86368560791016,53.02157974243164,-1.6817030906677246,28.390859603881836,,,,,,,0,,1.0,1,1,1
159,0438B51F-9A50-8642-9963-CDB942DD12D9.root,159,uproot_edm_partial_jets,0,1,,,3,3,3,499.19566345214844,263.51959228515625,168.48545837402344,0.3552912473678589,66.04149341583252,,,,,,,0,,1.0,1,1,1
160,0438B51F-9A50-8642-9963-CDB942DD12D9.root,160,uproot_edm_partial_jets,0,1,,,1,1,0,42.139381408691406,146.7342529296875,42.139381408691406,2.697293281555176,4.2318196296691895,,,,,,,0,,1.0,1,1,1
161,0438B51F-9A50-8642-9963-CDB942DD12D9.root,161,uproot_edm_partial_jets,0,1,,,5,5,4,490.66456604003906,226.7423095703125,91.47870635986328,-1.9372122287750244,66.40922546386719,,,,,,,0,,1.0,1,1,1
162,0438B51F-9A50-8642-9963-CDB942DD12D9.root,162,uproot_edm_partial_jets,0,1,,,2,2,2,182.9994239807129,129.3402557373047,53.6591682434082,-1.669325590133667,33.602112770080566,,,,,,,0,,1.0,1,1,1
163,0438B51F-9A50-8642-9963-CDB942DD12D9.root,163,uproot_edm_partial_jets,0,1,,,4,4,2,354.4903316497803,182.4888916015625,103.95537567138672,-1.6135565042495728,53.26858949661255,,,,,,,0,,1.0,1,1,1
164,0438B51F-9A50-8642-9963-CDB942DD12D9.root,164,uproot_edm_partial_jets,0,1,,,3,3,2,211.92539978027344,173.9387664794922,83.82366180419922,-3.0859766006469727,31.33261775970459,,,,,,,0,,1.0,1,1,1
165,0438B51F-9A50-8642-9963-CDB942DD12D9.root,165,uproot_edm_partial_jets,0,1,,,2,2,2,217.95105743408203,150.828369140625,67.12268829345703,-1.699211597442627,44.09261608123779,,,,,,,0,,1.0,1,1,1
166,0438B51F-9A50-8642-9963-CDB942DD12D9.root,166,uproot_edm_partial_jets,0,1,,,2,2,2,235.88761138916016,161.08084106445312,74.80677032470703,-1.679579257965088,46.27023220062256,,,,,,,0,,1.0,1,1,1
167,0438B51F-9A50-8642-9963-CDB942DD12D9.root,167,uproot_edm_partial_jets,0,1,,,0,0,0,0.0,20.221359252929688,13.477131843566895,0.21003039181232452,0.0,,,,,,,0,,1.0,1,1,1
168,0438B51F-9A50-8642-9963-CDB942DD12D9.root,168,uproot_edm_partial_jets,0,1,,,2,2,2,171.33316802978516,118.30573272705078,53.027435302734375,-1.66119384765625,34.253233909606934,,,,,,,0,,1.0,1,1,1
169,0438B51F-9A50-8642-9963-CDB942DD12D9.root,169,uproot_edm_partial_jets,0,1,,,3,3,3,526.8740310668945,298.18621826171875,166.4935302734375,2.2806355953216553,59.7465295791626,,,,,,,0,,1.0,1,1,1
170,0438B51F-9A50-8642-9963-CDB942DD12D9.root,170,uproot_edm_partial_jets,0,1,,,2,2,2,181.4663429260254,128.84288024902344,52.62346267700195,-1.6551891565322876,32.9297981262207,,,,,,,0,,1.0,1,1,1
171,0438B51F-9A50-8642-9963-CDB942DD12D9.root,171,uproot_edm_partial_jets,0,1,,,2,2,2,239.93830108642578,150.72744750976562,89.21085357666016,-1.6807341575622559,46.76308250427246,,,,,,,0,,1.0,1,1,1
172,0438B51F-9A50-8642-9963-CDB942DD12D9.root,172,uproot_edm_partial_jets,0,1,,,2,2,2,232.01439666748047,153.58383178710938,78.4305648803711,-1.669620156288147,46.550716400146484,,,,,,,0,,1.0,1,1,1
173,0438B51F-9A50-8642-9963-CDB942DD12D9.root,173,uproot_edm_partial_jets,0,1,,,2,2,2,204.5500144958496,143.29751586914062,61.252498626708984,-1.667862892150879,39.67772579193115,,,,,,,0,,1.0,1,1,1
174,0438B51F-9A50-8642-9963-CDB942DD12D9.root,174,uproot_edm_partial_jets,0,1,,,2,2,1,108.7575740814209,77.43586730957031,31.321706771850586,1.423481822013855,19.8896541595459,,,,,,,0,,1.0,1,1,1
175,0438B51F-9A50-8642-9963-CDB942DD12D9.root,175,uproot_edm_partial_jets,0,1,,,2,2,2,223.45867919921875,152.4756622314453,70.98301696777344,-1.6962412595748901,42.20427131652832,,,,,,,0,,1.0,1,1,1
176,0438B51F-9A50-8642-9963-CDB942DD12D9.root,176,uproot_edm_partial_jets,0,1,,,2,2,1,186.86497116088867,137.625732421875,49.23923873901367,-1.6804097890853882,36.397196769714355,,,,,,,0,,1.0,1,1,1
