variant,jet_bin,met_bin,score_band,observed,met_bin_n,sm_fraction,expected_official_shape,midpoint,shape_correction,expected_shape
lepton_aware_resid,0jet,7,q000_050,0,17646,0.0,0.0,0.25,1.4575351592726107,0.0
lepton_aware_resid,0jet,7,q050_080,0,17646,0.0,0.0,0.65,1.330334911755126,0.0
lepton_aware_resid,0jet,7,q080_090,0,17646,0.0,0.0,0.85,1.270960234390636,0.0
lepton_aware_resid,0jet,7,q090_095,0,17646,0.0,0.0,0.925,1.2493843971338217,0.0
lepton_aware_resid,0jet,7,q095_0975,0,17646,0.0,0.0,0.9625,1.238734221498959,0.0
lepton_aware_resid,0jet,7,q0975_099,0,17646,0.0,0.0,0.9825,1.2330912984699427,0.0
lepton_aware_resid,0jet,7,q099_100,17646,17646,1.0,17646.0,0.995,1.2295775327178566,21697.125142339297
lepton_aware_resid,0jet,8,q000_050,0,2875,0.0,0.0,0.25,1.4575351592726107,0.0
lepton_aware_resid,0jet,8,q050_080,0,2875,0.0,0.0,0.65,1.330334911755126,0.0
lepton_aware_resid,0jet,8,q080_090,0,2875,0.0,0.0,0.85,1.270960234390636,0.0
lepton_aware_resid,0jet,8,q090_095,0,2875,0.0,0.0,0.925,1.2493843971338217,0.0
lepton_aware_resid,0jet,8,q095_0975,0,2875,0.0,0.0,0.9625,1.238734221498959,0.0
lepton_aware_resid,0jet,8,q0975_099,219,2875,0.011505030126787876,33.07696161451514,0.9825,1.2330912984699427,40.786913546682925
lepton_aware_resid,0jet,8,q099_100,2656,2875,0.9884949698732122,2841.923038385485,0.995,1.2295775327178566,3494.3647177120592
lepton_aware_resid,0jet,9,q000_050,0,418,0.0,0.0,0.25,1.4575351592726107,0.0
lepton_aware_resid,0jet,9,q050_080,0,418,0.0,0.0,0.65,1.330334911755126,0.0
lepton_aware_resid,0jet,9,q080_090,0,418,0.0,0.0,0.85,1.270960234390636,0.0
lepton_aware_resid,0jet,9,q090_095,26,418,0.03615028908939562,15.110820839367369,0.925,1.2493843971338217,18.879223784590188
lepton_aware_resid,0jet,9,q095_0975,141,418,0.27256869890518726,113.93371614236827,0.9625,1.238734221498959,141.13359316809994
lepton_aware_resid,0jet,9,q0975_099,129,418,0.340989957097663,142.53380206682314,0.9825,1.2330912984699427,175.75719106643675
lepton_aware_resid,0jet,9,q099_100,122,418,0.3502910549077542,146.42166095144125,0.995,1.2295775327178566,180.03678460912366
lepton_aware_resid,1to2jets,0,q000_050,454532,894548,0.5887383201889768,526654.6868484088,0.25,0.23889518935067772,125815.27113707249
lepton_aware_resid,1to2jets,0,q050_080,229498,894548,0.32617808330040404,291781.9520602098,0.65,1.8427232291993452,537673.3809224784
lepton_aware_resid,1to2jets,0,q080_090,107389,894548,0.06362948340626465,56919.62712210723,0.85,5.117837163392548,291305.3830119668
lepton_aware_resid,1to2jets,0,q090_095,73698,894548,0.016218904807093155,14508.588857375567,0.925,7.506653090586592,108910.94338626848
lepton_aware_resid,1to2jets,0,q095_0975,28218,894548,0.003938887784581459,3523.524189921775,0.9625,9.09130624066695,32033.437456976793
lepton_aware_resid,1to2jets,0,q0975_099,1211,894548,0.0010979210609713549,982.1430892498036,0.9825,10.069059855535704,9889.257552357018
lepton_aware_resid,1to2jets,0,q099_100,2,894548,0.00019839945170854807,177.47783272697825,0.995,10.732862598808094,1904.845192992904
lepton_aware_resid,1to2jets,1,q000_050,171694,513994,0.7161568053142147,368100.30099067447,0.25,0.23889518935067772,87937.39110520863
lepton_aware_resid,1to2jets,1,q050_080,200881,513994,0.23705956768991282,121847.19543520905,0.65,1.8427232291993452,224530.65744125214
lepton_aware_resid,1to2jets,1,q080_090,92159,513994,0.0347243867083109,17848.126421751553,0.85,5.117837163392548,91343.80469816856
lepton_aware_resid,1to2jets,1,q090_095,44307,513994,0.008926878257247148,4588.36186295549,0.925,7.506653090586592,34443.24075928448
lepton_aware_resid,1to2jets,1,q095_0975,4935,513994,0.0023739425237584042,1220.1922135566772,0.9625,9.09130624066695,11093.14108592104
lepton_aware_resid,1to2jets,1,q0975_099,18,513994,0.0006555836494914769,336.9660623367222,0.9825,10.069059855535704,3392.9314509526307
lepton_aware_resid,1to2jets,1,q099_100,0,513994,0.00010283585706448063,52.857013516000656,0.995,10.732862598808094,567.3070634505773
lepton_aware_resid,1to2jets,2,q000_050,80080,355907,0.7660776347760619,272652.3927602439,0.25,0.23889518935067772,65135.344995373816
lepton_aware_resid,1to2jets,2,q050_080,176160,355907,0.19718136618112703,70178.22849342637,0.65,1.8427232291993452,129319.05182889615
lepton_aware_resid,1to2jets,2,q080_090,72749,355907,0.02723600151710053,9693.483591946697,0.85,5.117837163392548,49609.67056960069
lepton_aware_resid,1to2jets,2,q090_095,26147,355907,0.0070343426420299135,2503.5717866969403,0.925,7.506653090586592,18793.44489011398
lepton_aware_resid,1to2jets,2,q095_0975,759,355907,0.0017013823660024657,605.5338937368396,0.9625,9.09130624066695,5505.094067065088
lepton_aware_resid,1to2jets,2,q0975_099,12,355907,0.0007159135792735857,254.79865425852407,0.9825,10.069059855535704,2565.582900839026
lepton_aware_resid,1to2jets,2,q099_100,0,355907,5.335893840437206e-05,18.990819690684845,0.995,10.732862598808094,203.82585837885966
lepton_aware_resid,1to2jets,3,q000_050,51687,265944,0.784503760819688,208634.0681674311,0.25,0.23889518935067772,49841.675219860655
lepton_aware_resid,1to2jets,3,q050_080,137154,265944,0.18200117450191036,48402.12035173605,0.65,1.8427232291993452,89191.71151464639
lepton_aware_resid,1to2jets,3,q080_090,58898,265944,0.02470690820042588,6570.65399445406,0.85,5.117837163392548,33627.537200610685
lepton_aware_resid,1to2jets,3,q090_095,17917,265944,0.006464995640902222,1719.3268007241006,0.925,7.506653090586592,12906.389842383927
lepton_aware_resid,1to2jets,3,q095_0975,285,265944,0.0016749614994148072,445.4459610003715,0.9625,9.09130624066695,4049.6856451225644
lepton_aware_resid,1to2jets,3,q0975_099,3,265944,0.0006213794964647789,165.25214880782917,0.9825,10.069059855535704,1663.933777601925
lepton_aware_resid,1to2jets,3,q099_100,0,265944,2.6819841193997903e-05,7.132575846496579,0.995,10.732862598808094,76.5529565360251
lepton_aware_resid,1to2jets,4,q000_050,39328,208076,0.7917213007249712,164738.2013696491,0.25,0.23889518935067772,39355.16380949239
lepton_aware_resid,1to2jets,4,q050_080,107770,208076,0.17648966249837783,36723.26301401247,0.65,1.8427232291993452,67670.80980791793
lepton_aware_resid,1to2jets,4,q080_090,47657,208076,0.023310615480539,4850.379626728633,0.85,5.117837163392548,24823.453110233877
lepton_aware_resid,1to2jets,4,q090_095,13149,208076,0.006300843421168223,1311.0542957029993,0.925,7.506653090586592,9841.629780765747
lepton_aware_resid,1to2jets,4,q095_0975,167,208076,0.0015617532397196304,324.96336710790183,0.9625,9.09130624066695,2954.341487376213
lepton_aware_resid,1to2jets,4,q0975_099,5,208076,0.0005477828485626425,113.9804639975204,0.9825,10.069059855535704,1147.6761143527654
lepton_aware_resid,1to2jets,4,q099_100,0,208076,6.804178666160738e-05,14.157862801400617,0.995,10.732862598808094,151.95439614020907
lepton_aware_resid,1to2jets,5,q000_050,33731,157436,0.7908612999145815,124510.03961335206,0.25,0.23889518935067772,29744.849489492124
lepton_aware_resid,1to2jets,5,q050_080,83751,157436,0.17751622430783912,27947.44429012896,0.65,1.8427232291993452,51499.404790175235
lepton_aware_resid,1to2jets,5,q080_090,31958,157436,0.02337194927675104,3679.586206334577,0.85,5.117837163392548,18831.523032685698
lepton_aware_resid,1to2jets,5,q090_095,7864,157436,0.0058291884729948255,917.7241164344133,0.925,7.506653090586592,6889.036574938237
lepton_aware_resid,1to2jets,5,q095_0975,128,157436,0.001775184584401765,279.47796022987626,0.9625,9.09130624066695,2540.819723966744
lepton_aware_resid,1to2jets,5,q0975_099,4,157436,0.0005592107074169112,88.03989693288882,0.9825,10.069059855535704,886.4789918924517
lepton_aware_resid,1to2jets,5,q099_100,0,157436,8.694273601473947e-05,13.687916587216522,0.995,10.732862598808094,146.91052799454113
lepton_aware_resid,1to2jets,6,q000_050,30728,95195,0.7795984682286398,74213.87618302536,0.25,0.23889518935067772,17729.338003191595
