variant,jet_bin,real_events,sideband_80_95_obs_exp,q99_observed,q99_expected_shape,q99_obs_exp,sideband_log_rms,relative_uncertainty_used,q99_Z
lepton_aware_resid,0jet,7050055,1.2532254383526096,6466750.0,8144306.658643959,0.794020936470573,0.056420829734239425,0.30525941431493975,-0.6747668316315809
lepton_aware_resid,1to2jets,2560282,4.693588400516333,23.0,3305.906564627751,0.006957244420061167,0.5511772192315483,0.6275319330518745,-1.581850304735143
lepton_aware_resid,3to4jets,167033,1.7121674114241834,132.0,242.23588882838524,0.5449233828993725,0.21440716707933152,0.3687416891198829,-1.2158151763990022
lepton_aware_resid,5plusjets,19039,0.813252545769026,1749.0,960.5662583497332,1.8208009960758016,0.2633548489381085,0.3991939083443207,2.049462544433875
jets_only_resid,0jet,7050055,1.0286418405902709,6520006.0,6359991.457821888,1.0251595530024362,0.0838082531130448,0.3114864736868363,0.08077247245565788
jets_only_resid,1to2jets,2560282,6.57734858928045,55.0,605.5565519284562,0.0908255386302847,0.6205000276594322,0.6892171532437046,-1.3168538047000728
jets_only_resid,3to4jets,167033,1.701014085205525,273.0,116.17300115743753,2.3499435951562506,0.26342979360211394,0.39924335455615584,3.2934946662776214
jets_only_resid,5plusjets,19039,0.7746157731462191,2291.0,935.2758722041452,2.449544640343226,0.2829430892105621,0.4123794269019929,3.504076680334242
jetcount_only_resid,0jet,7050055,0.9181360767640531,3.0,0.6746626255354944,4.446666950935417,0.1468690748841439,0.33402174353973463,2.730130355807369
jetcount_only_resid,1to2jets,2560282,0.1548817315580234,22.0,1.8403092260216212,11.954512692173793,0.6286173853243753,0.6965341464221652,10.801424718660991
jetcount_only_resid,3to4jets,167033,0.8730046619822642,42.0,32.668729218753455,1.285633111675796,0.07660580147317897,0.3096263051152923,0.8031557072406029
jetcount_only_resid,5plusjets,19039,0.9734743907022481,2531.0,2238.740919270867,1.1305461825499301,0.058601202016692576,0.3056699214476315,0.42606497172272095
raw_missing_z,0jet,7050055,0.9236718851318668,64688.0,70246.60509430108,0.9208701248004932,0.21969473532451061,0.37184106380187054,-0.21279468485659017
raw_missing_z,1to2jets,2560282,0.8270165600721057,20496.0,20063.11519025996,1.0215761513421502,0.09284349649927316,0.3140380786500429,0.06868817050790975
raw_missing_z,3to4jets,167033,0.9258821066405349,1556.0,1507.387870648585,1.0322492507057912,0.052447002688146685,0.3045499763437365,0.10551481477989288
raw_missing_z,5plusjets,19039,0.957502681877126,188.0,178.80464081268192,1.0514268485735292,0.08573349641578235,0.31200998767295085,0.1602845463771691
