run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status
283946,356,469617381,25.0469,2.27408,0,0,0,25.0469,5,0,0,0,91.6843,28.3559,28.1933,0,0,0,0,1,0,0,0.554251,29,1871,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,468972056,19.4793,-2.59743,27.1907,-2.75101,0.0892551,-7.71144,7,4,3,304.64,355.779,97.0434,93.9874,1,0,1,38.6961,1,0,0,0.611535,19,1516,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469210912,76.1707,-1.81312,23.0772,-2.73175,0.0812552,53.0935,9,2,2,284.009,410.898,148.532,135.477,2,0,2,181.331,4,2,1,0.959752,20,1634,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,468847668,16.9822,1.89528,50.7115,2.25244,1,-33.7292,4,1,1,50.7115,92.5198,50.7115,15.2659,2,0,2,64.8444,0,0,0,0.529497,28,1834,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469631976,26.7391,3.07678,0,0,0,26.7391,4,0,0,0,60.5086,28.1121,11.9693,1,0,1,22.4474,1,0,0,0.552232,26,1755,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,468954541,33.8055,0.154357,3.04928,2.43721,0.0363186,30.7563,5,2,0,83.9593,122.297,42.826,41.1333,1,1,2,39.3742,1,1,1,0.99354,30,1987,5,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469580005,9.69924,0.958842,0,0,0,9.69924,2,0,0,0,28.9636,14.9942,13.9694,1,0,1,34.9156,0,0,0,0.534657,31,2164,3,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469325966,32.5415,0.624681,49.6307,0.59616,1,-17.0892,7,1,0,49.6307,143.647,49.6307,19.0066,1,0,1,27.9099,3,0,0,0.712098,21,1605,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,468893223,17.7065,1.64121,30.1965,-3.04162,1,-12.49,8,1,0,30.1965,137.231,30.1965,25.0474,1,0,1,22.0808,2,0,0,0.552441,29,2052,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469959601,54.5049,2.03062,36.81,-0.211469,0.435673,17.6949,5,2,1,84.49,134.745,53.5254,30.9646,1,1,2,42.7855,2,0,0,0.664582,22,1827,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469050896,62.7582,-2.81097,78.3681,-2.5849,0.922664,-15.6099,7,2,1,84.9367,154.3,53.8209,31.1158,1,0,1,25.9564,0,0,0,0.527012,26,1782,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
283946,356,469737683,42.9985,2.14002,53.1035,2.63859,1,-10.1049,3,1,1,53.1035,79.7179,53.1035,16.4056,1,0,1,41.306,0,0,0,0.530851,25,1590,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469101708,41.8275,0.146605,0,0,0,41.8275,6,0,0,0,107.081,27.2285,24.2276,1,0,1,11.6191,0,0,0,0.443215,26,1826,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469776815,25.5775,-2.96603,50.9667,-2.92003,0.0477862,-25.3892,9,6,5,1066.56,1119.32,392.889,268.84,1,1,2,47.7148,3,0,0,0.742228,20,1892,3,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
283946,356,469386112,76.3229,2.51111,86.3534,-1.79475,0.36758,-10.0305,12,3,3,234.924,378.879,109.152,69.5221,1,0,1,42.3267,2,1,0,0.850284,30,1752,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469210328,41.0889,-1.44886,102.9,-0.307158,0.751354,-61.8116,8,2,1,136.953,235.484,95.5435,41.4099,1,0,1,37.1419,1,0,0,0.830556,29,1972,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,468994255,39.5031,-0.519327,24.7083,0.645224,0.0974415,14.7947,7,3,2,253.571,305.849,107.524,106.587,1,0,1,50.9637,3,1,1,0.974262,29,1858,4,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469115136,12.243,-1.19953,43.0257,-1.08267,1,-30.7827,3,1,0,43.0257,72.4945,43.0257,17.8809,1,0,1,23.5877,0,0,0,0.245872,27,1412,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469711987,20.9336,-0.0795871,41.734,0.0224179,1,-20.8004,7,1,0,41.734,142.627,41.734,22.5741,2,0,2,590.248,0,0,0,0.533366,31,1888,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,470040783,36.0417,1.56966,14.3187,-0.056646,0.0734349,21.723,5,3,2,194.985,223.094,96.4269,53.6673,1,0,1,71.3393,1,0,0,0.6461,31,1947,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469558393,45.5312,-3.01844,37.2941,-2.16178,1,8.23709,6,1,0,37.2941,100.716,37.2941,18.0746,1,0,1,31.315,0,0,0,0.529973,32,1909,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,468765909,90.0301,1.51989,37.8201,1.82804,1,52.2099,3,1,0,37.8201,64.4375,37.8201,15.715,1,0,1,32.9645,0,0,0,0.542515,28,1907,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469549632,58.0406,0.322711,38.568,-0.330434,0.185695,19.4726,12,3,2,207.695,341.433,100.611,71.7233,1,1,2,50.7935,3,0,0,0.622144,35,2274,3,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469184051,73.6385,-1.04171,52.8311,-0.84833,0.311342,20.8074,11,4,1,169.688,297.439,56.6002,44.0324,1,1,2,37.9246,1,0,0,0.551769,28,1959,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,468942278,58.4607,-0.17463,48.8976,-1.74829,1,9.56306,9,1,0,48.8976,157.457,48.8976,18.5645,1,0,1,30.198,3,0,0,0.558902,30,1938,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469126822,9.04844,-0.749868,75.4121,-2.67964,0.20793,-66.3637,12,3,3,362.68,496.588,122.672,122.087,1,0,1,92.5082,3,0,0,0.728542,35,2255,2,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469806009,42.0264,1.68328,51.1479,0.24268,1,-9.12154,6,1,1,51.1479,131.161,51.1479,28.2588,1,0,1,30.5658,1,0,0,0.658091,28,1977,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469119814,37.4951,1.21953,0,0,0,37.4951,4,0,0,0,62.0463,27.8654,12.6367,1,0,1,22.6098,1,0,0,0.555117,30,1756,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469413560,59.0249,2.46139,51.7434,2.42212,1,7.28148,2,1,1,51.7434,63.7664,51.7434,12.023,1,0,1,39.918,1,0,0,0.554514,27,1781,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469416485,33.5852,-1.46386,70.5091,-2.16814,0.152476,-36.9239,13,3,3,462.428,607.238,208.01,187.971,1,0,1,29.1049,3,1,0,0.918547,17,1549,3,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
283946,356,468936433,35.7673,0.506146,8.44504,0.552494,0.0419403,27.3222,10,2,2,201.359,305.455,101.28,100.079,2,1,3,140.987,2,1,0,0.930819,25,2364,2,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469288004,48.0319,0.0255669,44.9516,0.651433,1,3.08036,3,1,0,44.9516,83.8566,44.9516,27.8298,1,0,1,38.3806,0,0,0,0.530086,22,1422,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469601028,54.1167,0.646906,51.3997,0.922272,1,2.71698,4,1,1,51.3997,89.8463,51.3997,16.2296,1,0,1,38.6988,0,0,0,0.541682,28,1571,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469414733,30.0101,-1.10732,67.5825,-1.47349,0.893805,-37.5724,8,2,0,75.6122,159.464,40.1332,35.479,1,0,1,24.3906,1,0,0,0.665888,33,1899,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,470220648,18.2656,-0.173753,124.791,-1.72191,1,-106.526,3,1,1,124.791,163.567,124.791,27.1383,2,0,2,78.025,0,0,0,0.196533,29,1742,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469285084,63.7994,-1.70224,40.2859,-2.0193,1,23.5135,8,1,0,40.2859,136.354,40.2859,16.208,1,0,1,28.3233,1,0,0,0.722839,24,1902,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,468976731,32.8126,-0.135403,31.3486,0.306045,0.256762,1.46397,7,2,1,122.092,190.464,76.7128,45.3795,2,1,3,94.7766,2,0,0,0.845846,31,1766,3,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469373269,34.4859,2.39972,47.036,0.80305,1,-12.55,1,1,0,47.036,47.036,47.036,0,1,0,1,24.6575,1,0,0,0.754095,21,1497,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469094700,1.97957,1.14673,37.493,1.89518,1,-35.5134,3,1,0,37.493,63.5547,37.493,16.0053,1,0,1,25.9358,2,0,0,0.724817,26,1781,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,468848836,96.6393,0.822787,42.3419,0.743788,1,54.2974,10,1,0,42.3419,176.548,42.3419,24.8384,1,0,1,34.5987,0,0,0,0.53151,31,1637,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,470269126,23.8876,-0.239388,24.3953,-1.72665,0.291882,-0.50762,6,2,1,83.5792,144.176,53.513,30.0662,2,0,2,47.7725,0,0,0,0.431794,23,1390,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469625559,23.0175,2.22146,44.3532,-3.04962,1,-21.3358,5,1,0,44.3532,96.544,44.3532,14.6106,1,0,1,35.8849,1,0,0,0.759191,28,1638,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469481310,49.4561,0.892114,46.0951,1.70641,0.148162,3.36102,5,4,3,311.112,321.232,127.735,82.9903,3,0,3,93.7171,2,0,0,0.837097,23,1628,2,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,470085745,44.9636,2.76072,47.8027,-2.88026,1,-2.83904,6,1,0,47.8027,116.87,47.8027,15.8174,1,0,1,33.9551,0,0,0,0.538924,26,1817,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,470280800,38.53,-1.42734,8.23016,-2.90482,0.110737,30.2999,8,2,0,74.3215,153.596,41.1078,33.2137,1,0,1,24.8393,1,1,1,0.965286,25,1690,3,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469619134,27.4665,2.44375,42.6071,2.97311,1,-15.1406,3,1,0,42.6071,69.7783,42.6071,13.8234,2,0,2,50.8982,0,0,0,0.0625753,18,1393,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,470221234,52.0773,1.74161,52.2967,-0.779738,1,-0.219395,4,1,1,52.2967,91.7078,52.2967,18.6073,1,0,1,28.185,1,1,1,0.995371,24,1691,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469382614,19.6879,1.73426,43.1089,1.60337,1,-23.4211,3,1,0,43.1089,66.4472,43.1089,12.0483,1,0,1,38.986,2,0,0,0.762015,25,1544,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469547884,4.7816,2.47818,58.2595,1.20605,1,-53.4779,4,1,1,58.2595,90.351,58.2595,11.3609,1,0,1,52.8902,1,0,0,0.746677,21,1669,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469189307,24.2353,2.1867,36.1477,-1.27607,1,-11.9124,3,1,0,36.1477,61.1724,36.1477,14.4527,1,0,1,33.3602,0,0,0,0.149855,21,1505,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469471380,31.4571,-3.12212,34.0185,0.868904,1,-2.56131,5,1,0,34.0185,90.7492,34.0185,18.3311,1,0,1,25.3394,1,0,0,0.556073,39,2323,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469602781,64.6424,0.786711,12.4161,-2.3286,0.118888,52.2263,6,2,2,104.435,163.533,53.2936,51.1415,4,0,4,136.774,0,0,0,0.531856,24,1935,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469191643,30.721,-2.32504,20.8655,1.07903,0.0928815,9.85549,4,3,2,224.646,234.688,98.0609,83.3411,1,1,2,79.8983,0,0,0,0.531548,33,1768,2,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
283946,356,469079515,45.4381,-0.466187,21.0209,-2.69838,0.269502,24.4172,5,2,0,77.9989,129.605,45.6601,32.3388,2,0,2,63.3184,1,0,0,0.764774,23,1418,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469777396,97.9793,-1.0816,54.6258,-0.894177,1,43.3535,3,1,1,54.6258,90.1893,54.6258,18.0919,1,0,1,42.4499,2,0,0,0.552464,26,1797,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,470193203,15.9618,0.739033,33.3841,0.830189,0.119853,-17.4222,12,2,2,278.542,436.625,154.399,124.143,3,1,4,70.1788,3,0,0,0.63671,29,2168,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
283946,356,469530946,96.5096,-2.9074,34.7636,-2.33141,1,61.746,8,1,0,34.7636,147.106,34.7636,28.5286,1,0,1,25.6951,0,0,0,0.535352,28,1950,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469498831,48.5573,-1.10364,18.1255,-1.68682,0.173883,30.4318,5,2,1,104.24,147.251,55.856,48.3839,2,0,2,85.813,1,1,0,0.883407,28,1990,2,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469076599,87.5438,-1.5607,69.5354,-1.97817,0.978823,18.0084,8,2,0,71.0397,150.719,39.6913,31.3484,1,0,1,23.7433,2,0,0,0.774312,32,1985,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469170622,9.81449,1.71492,0,0,0,9.81449,6,0,0,0,76.6082,17.9377,13.7068,0,0,0,0,0,0,0,0.528311,23,1600,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,470135389,51.7287,0.070128,48.1696,-0.0213992,1,3.55915,3,1,0,48.1696,71.4159,48.1696,12.1928,1,0,1,38.4362,1,0,0,0.662158,30,1784,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
283946,356,469820030,58.0281,-1.10966,50.2848,-1.88807,1,7.74331,2,1,1,50.2848,62.1588,50.2848,11.874,2,0,2,51.1595,0,0,0,0.186036,25,1934,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
