process_family,events,sum_weight
QCD,499,5.54801148256123
TTAssoc,491,1.496702971264323
TTTop,3644,0.7570667369828047
WJets,95,10.456268686463321
ZNuNu,7622,26.748118936030703
diboson,212,25.54371243470179
