comparison,bootstrap_delta_auc
standard_plus_trace_axis_vs_standard_CMS_like,0.00038763331681324065
standard_plus_trace_axis_vs_standard_CMS_like,0.0005596151075879519
standard_plus_trace_axis_vs_standard_CMS_like,0.0006377001453812259
standard_plus_trace_axis_vs_standard_CMS_like,0.0003726780871111668
standard_plus_trace_axis_vs_standard_CMS_like,0.00043470127424871663
standard_plus_trace_axis_vs_standard_CMS_like,0.00045856375528163795
standard_plus_trace_axis_vs_standard_CMS_like,0.00041120098168623276
standard_plus_trace_axis_vs_standard_CMS_like,0.00034453916868737444
standard_plus_trace_axis_vs_standard_CMS_like,0.0004722652276425432
standard_plus_trace_axis_vs_standard_CMS_like,0.0002332233873642009
standard_plus_trace_axis_vs_standard_CMS_like,0.0006205623579661479
standard_plus_trace_axis_vs_standard_CMS_like,0.0006315456682073339
standard_plus_trace_axis_vs_standard_CMS_like,0.00034050044092392984
standard_plus_trace_axis_vs_standard_CMS_like,0.00037666414561088324
standard_plus_trace_axis_vs_standard_CMS_like,0.00041587089643291275
standard_plus_trace_axis_vs_standard_CMS_like,0.0002840004637354454
standard_plus_trace_axis_vs_standard_CMS_like,0.0004447049787502655
standard_plus_trace_axis_vs_standard_CMS_like,0.0006127324531637335
standard_plus_trace_axis_vs_standard_CMS_like,0.00034908124941823715
standard_plus_trace_axis_vs_standard_CMS_like,0.0004957144815540548
standard_plus_trace_axis_vs_standard_CMS_like,0.0005476735531334542
standard_plus_trace_axis_vs_standard_CMS_like,0.00014435202565732386
standard_plus_trace_axis_vs_standard_CMS_like,0.00034332658909586034
standard_plus_trace_axis_vs_standard_CMS_like,0.00031493061870169203
standard_plus_trace_axis_vs_standard_CMS_like,0.0005678971668440225
standard_plus_trace_axis_vs_standard_CMS_like,0.0004102390241995657
standard_plus_trace_axis_vs_standard_CMS_like,0.000425017953441742
standard_plus_trace_axis_vs_standard_CMS_like,0.0006111368360876002
standard_plus_trace_axis_vs_standard_CMS_like,0.00013772029249248252
standard_plus_trace_axis_vs_standard_CMS_like,0.0005237197996952325
standard_plus_trace_axis_vs_standard_CMS_like,0.0005678258593779795
standard_plus_trace_axis_vs_standard_CMS_like,0.0005019144591508207
standard_plus_trace_axis_vs_standard_CMS_like,0.0004005845565563382
standard_plus_trace_axis_vs_standard_CMS_like,0.00042768851472174685
standard_plus_trace_axis_vs_standard_CMS_like,0.0002222303983312468
standard_plus_trace_axis_vs_standard_CMS_like,0.0005745588705053928
standard_plus_trace_axis_vs_standard_CMS_like,0.0002692935392629714
standard_plus_trace_axis_vs_standard_CMS_like,0.00019544329466103516
standard_plus_trace_axis_vs_standard_CMS_like,0.0005928242089595637
standard_plus_trace_axis_vs_standard_CMS_like,0.0005045506647282094
standard_plus_trace_axis_vs_standard_CMS_like,0.0002558224095401407
standard_plus_trace_axis_vs_standard_CMS_like,0.00037789265744603284
standard_plus_trace_axis_vs_standard_CMS_like,0.0006746705658212671
standard_plus_trace_axis_vs_standard_CMS_like,0.0004713443834800657
standard_plus_trace_axis_vs_standard_CMS_like,7.687162123881652e-05
standard_plus_trace_axis_vs_standard_CMS_like,0.0002999347779828465
standard_plus_trace_axis_vs_standard_CMS_like,0.0003661676720089213
standard_plus_trace_axis_vs_standard_CMS_like,0.00033486211196143145
standard_plus_trace_axis_vs_standard_CMS_like,0.00034516022705610716
standard_plus_trace_axis_vs_standard_CMS_like,0.0007069172449001293
standard_plus_trace_axis_vs_standard_CMS_like,0.00042312892545348646
standard_plus_trace_axis_vs_standard_CMS_like,0.00047935049337222146
standard_plus_trace_axis_vs_standard_CMS_like,0.00022363826249738317
standard_plus_trace_axis_vs_standard_CMS_like,0.00019935783444480215
standard_plus_trace_axis_vs_standard_CMS_like,0.0005238877448922041
standard_plus_trace_axis_vs_standard_CMS_like,0.00045757762727827167
standard_plus_trace_axis_vs_standard_CMS_like,0.0005566666136553877
standard_plus_trace_axis_vs_standard_CMS_like,0.0006398707486241495
standard_plus_trace_axis_vs_standard_CMS_like,0.0005114460144061139
standard_plus_trace_axis_vs_standard_CMS_like,0.0004069233755242818
standard_plus_trace_axis_vs_standard_CMS_like,0.0003372126985615731
standard_plus_trace_axis_vs_standard_CMS_like,0.00046123522452734544
standard_plus_trace_axis_vs_standard_CMS_like,0.0005780439749089039
standard_plus_trace_axis_vs_standard_CMS_like,0.0005489798712561278
standard_plus_trace_axis_vs_standard_CMS_like,0.0002951117195135744
standard_plus_trace_axis_vs_standard_CMS_like,0.0003660176937033688
standard_plus_trace_axis_vs_standard_CMS_like,0.0005762806435712919
standard_plus_trace_axis_vs_standard_CMS_like,0.0005224312738231207
standard_plus_trace_axis_vs_standard_CMS_like,0.0002511951282042624
standard_plus_trace_axis_vs_standard_CMS_like,0.00024661644831003304
standard_plus_trace_axis_vs_standard_CMS_like,0.0004228924603745243
standard_plus_trace_axis_vs_standard_CMS_like,0.0005914168074853121
standard_plus_trace_axis_vs_standard_CMS_like,0.0003786665197367256
standard_plus_trace_axis_vs_standard_CMS_like,0.0003910528419394099
standard_plus_trace_axis_vs_standard_CMS_like,0.0003983298215072262
standard_plus_trace_axis_vs_standard_CMS_like,0.0005093453249198632
standard_plus_trace_axis_vs_standard_CMS_like,0.0001493888987500469
standard_plus_trace_axis_vs_standard_CMS_like,0.0002462791106382367
standard_plus_trace_axis_vs_standard_CMS_like,0.0006594292632686738
standard_plus_trace_axis_vs_standard_CMS_like,0.00042544880828399023
