B_quartile,N_events,mean_MET,mean_HT,mean_Njets,mean_Njets50,mean_Nleptons,mean_MET_fraction,mean_B_event_jetonly_z,mean_B_event_z
Q1,32927,,132.81880458493845,1.500713700003037,1.0316761320496857,,,-0.6821592455687601,-0.6604288117564051
Q2,32927,,217.46149694880847,2.0,1.8848361527014303,,,-0.19672904895369675,-0.24475980667945194
Q3,32927,,304.04330208192425,2.372824733501382,1.9442099189115316,,,-0.010245063263734722,-0.00815152274024855
Q4,32927,,699.9098320984546,3.9969933489233758,2.996811127646005,,,0.8891333577861916,0.9133401411761055
