record_id,process_family,quality_events,B_OPQ_q99_threshold_within_record,B_OPQ_q99_events,B_OPQ_q99_fraction,generator_weight_sum_selected,mean_MET_pt,mean_HT,mean_Njets30,shape_only,absolute_yield_interpretation
69548,WJets,14996,1.6667925397761638,150,0.010002667377967457,13795.074764,53.82992633382235,118.33064229794613,1.8371565750866898,True,not permitted without record-level sum of generator weights
69746,WJets,4997,1.3780462895555672,50,0.010006003602161296,598652924.0,36.49019466780068,25.981753372023213,0.5427256353812288,True,not permitted without record-level sum of generator weights
74907,ZNuNu,560,1.63543199562935,6,0.010714285714285714,29.6817987,132.80635089285715,159.1197405357143,1.6642857142857144,True,not permitted without record-level sum of generator weights
74909,ZNuNu,66,2.601543879338129,1,0.015151515151515152,3.4090887,270.50245454545455,336.8435303030303,2.0,True,not permitted without record-level sum of generator weights
63118,QCD,14996,1.418087959270634,150,0.010002667377967457,14996.0,30.99700029387837,284.0498524006402,2.874433182181915,True,not permitted without record-level sum of generator weights
63126,QCD,14995,1.4643443435040027,150,0.010003334444814937,14995.0,35.74543943881294,500.310845255085,3.4104701567189064,True,not permitted without record-level sum of generator weights
63102,QCD,14987,1.8087147985165914,150,0.010008674184293053,14987.0,77.82133515933809,2318.486418229132,4.352372055781678,True,not permitted without record-level sum of generator weights
72753,diboson,14984,1.7986139546910578,150,0.0100106780565937,14984.0,43.63407196376134,122.57385533235451,1.924252536038441,True,not permitted without record-level sum of generator weights
75592,diboson,14994,1.8744000799961757,150,0.010004001600640256,14994.0,41.551477363545416,123.82716499933308,1.9360410830999066,True,not permitted without record-level sum of generator weights
74893,ZNuNu,4999,1.257406889630042,50,0.010002000400080016,4999.0,80.67857285217042,96.93326569313862,1.436887377475495,True,not permitted without record-level sum of generator weights
74897,ZNuNu,4993,1.4325048805438938,50,0.01001401962747847,4993.0,112.62764624273983,213.50822102944124,2.239134788704186,True,not permitted without record-level sum of generator weights
74901,ZNuNu,4998,1.5303937637357659,50,0.010004001600640256,4998.0,149.21245094037616,421.1767574229692,2.987795118047219,True,not permitted without record-level sum of generator weights
74903,ZNuNu,4998,1.6760099667499562,50,0.010004001600640256,4998.0,171.45895796318527,633.2301448979592,3.369547819127651,True,not permitted without record-level sum of generator weights
74905,ZNuNu,4374,1.8036820968422778,44,0.010059442158207591,4374.0,190.0738588203018,903.2272265660722,3.6550068587105624,True,not permitted without record-level sum of generator weights
74895,ZNuNu,1248,1.7360962943162577,13,0.010416666666666666,1248.0,229.09983150641025,1449.1226666666666,3.894230769230769,True,not permitted without record-level sum of generator weights
74899,ZNuNu,4999,1.7610612161885264,50,0.010002000400080016,4999.0,279.50672724264854,2896.832680536107,4.1560312062412486,True,not permitted without record-level sum of generator weights
67710,TTTop,3557,2.4068694508273136,36,0.010120888389091932,3557.0,195.20438240089965,427.53474065223503,3.9811639021647456,True,not permitted without record-level sum of generator weights
67722,TTTop,4998,2.5286294058248298,50,0.010004001600640256,4998.0,201.05819001600642,458.8392827330933,4.376550620248099,True,not permitted without record-level sum of generator weights
67726,TTTop,773,2.428520189126922,8,0.01034928848641656,773.0,207.40056597671412,471.2690765847347,4.419146183699871,True,not permitted without record-level sum of generator weights
68205,TTAssoc,4993,1.8169470824093827,50,0.01001401962747847,2358.4550999999997,64.34240037792911,540.1081919086722,5.8313639094732626,True,not permitted without record-level sum of generator weights
68196,TTAssoc,4998,1.6486283928465595,50,0.010004001600640256,380.030952,70.77262109373748,536.2746280112045,5.851340536214486,True,not permitted without record-level sum of generator weights
68072,TTAssoc,4994,1.6903348645924205,50,0.010012014417300761,1657.835388,98.68240124669605,498.8392545454546,5.113936724068883,True,not permitted without record-level sum of generator weights
68082,TTAssoc,2079,1.8296527161151392,21,0.010101010101010102,1382.4885599999998,70.28438453102454,566.4807702260701,5.719095719095719,True,not permitted without record-level sum of generator weights
