audit_utc,record_id,process_family,purpose,title,cross_section_pb,cross_section_uncertainty_pb,generated_events,filter_efficiency,matching_efficiency,negative_weight_fraction,record_file_count,online_file_count,selected_file_count,planned_events,record_url,normalisation_rule
2026-06-22T_TTJets_extension,67710,TTTop,TTJets genMET-150 top background component,/TTJets_DiLept_genMET-150_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v2/MINIAODSIM,3.261e+00,1.745e-03,6045127,6.261e-02,0.3,0.000e+00,358,1,1,5000,https://opendata.cern.ch/record/67710,use per-event generator_weight and record-level sum of generator weights when available; otherwise tiered approximation
2026-06-22T_TTJets_extension,67722,TTTop,TTJets genMET-150 top background component,/TTJets_SingleLeptFromTbar_genMET-150_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v2/MINIAODSIM,5.476e+00,9.828e-03,5779374,5.100e-02,0.3,0.000e+00,400,1,1,5000,https://opendata.cern.ch/record/67722,use per-event generator_weight and record-level sum of generator weights when available; otherwise tiered approximation
2026-06-22T_TTJets_extension,67726,TTTop,TTJets genMET-150 top background component,/TTJets_SingleLeptFromT_genMET-150_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v2/MINIAODSIM,5.566e+00,2.675e-03,7410828,5.152e-02,0.3,0.000e+00,439,1,1,5000,https://opendata.cern.ch/record/67726,use per-event generator_weight and record-level sum of generator weights when available; otherwise tiered approximation
