record_id,process_family,file_index,xrootd_url,status,lumi_entries,num_events_total,num_events_passed,sum_weights_total,sum_weights_passed
68072,TTAssoc,7,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/140000/1B5B0DD3-3F38-4744-914F-5E1EFC6975DA.root,0,43,24505,24505,15147.4,15147.4
68072,TTAssoc,8,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/140000/5AB506AE-2EC2-2E4F-9C25-FA12C95CF5A0.root,0,44,25100,25100,15515.2,15515.2
68072,TTAssoc,9,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/140000/60E9B27A-418D-DD4A-92ED-B88749F28DEB.root,0,53,30104,30104,18608.3,18608.3
68072,TTAssoc,10,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/140000/AD47F20C-6C2E-BE4B-B3FB-C9C04A66E14C.root,0,22,12374,12374,7648.79,7648.79
68072,TTAssoc,11,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/140000/DDB48050-AAF6-ED44-BEE7-D5A8AC68AE54.root,0,43,24550,24550,15175.2,15175.2
68072,TTAssoc,12,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/140000/F2954B3E-C68C-824B-A216-11251DBB3DBB.root,0,33,18999,18999,11743.9,11743.9
68072,TTAssoc,13,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/270000/06C1531D-D77E-2341-922B-FDF9E5233479.root,0,43,24631,24631,15225.3,15225.3
68072,TTAssoc,14,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/270000/096AC745-AF24-E543-BF1C-A05711D15FA4.root,0,51,28939,28939,17888.2,17888.2
68072,TTAssoc,15,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/270000/355CAEAE-47E6-0044-B440-BEA7A77E919C.root,0,44,24845,24845,15357.5,15357.5
68072,TTAssoc,16,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/270000/3F44B2FA-4243-954E-8BDF-E2858BB0BB85.root,0,44,25030,25030,15471.9,15471.9
