feature_set,r2,adj_r2,aic,bic
baseline_metadata,0.18709566829188962,0.14136265384980173,2046.0190310805335,2235.551220362477
current_B_rare,0.19239906270929996,0.14455810450590167,2045.0969034990217,2243.874565428865
label_B_rare,0.1884704332165429,0.13918262054466635,2050.746189543407,2254.1465877972005
core_or_label_rare,0.1912675479019359,0.14214961648920044,2048.14977944618,2251.550177699973
label_plus_core_rare,0.17858227452785858,0.12869390984522855,2059.8536313542722,2263.254029608065
components_sparse,0.19775712143102164,0.1454121960208471,2048.091107287766,2265.3597145134086
