mode,sample_validation_id,region,relative_independent_shape_uncertainty,anchor_q90_95,upper_observed,upper_expected,obs_over_exp_upper,background_only_p,background_only_Z,fit_mu_trace
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.1,1980.0,3606.0,1754.835521298427,2.054893439432928,5.040089843333699e-44,13.866705184496523,1.021466168261197
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.2,1980.0,3606.0,1754.835521298427,2.054893439432928,1.1869335988122708e-13,7.325851402009875,1.0324891593123868
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.3,1980.0,3606.0,1754.835521298427,2.054893439432928,7.552730077816774e-08,5.251269348387018,1.0567399313939407
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.4,1980.0,3606.0,1754.835521298427,2.054893439432928,1.5539628790311602e-05,4.165410688750768,1.083168795427725
exact_completed_only,Run2016H_remote_mht_aware,MET_trace,0.5,1980.0,3606.0,1754.835521298427,2.054893439432928,0.00023258465775111793,3.5000509065232177,1.1130675034924582
exact_completed_only,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.1,3304.0,3297.0,2928.270991095961,1.1259203844265913,0.011103364126555474,2.2868132075331604,0.13403681534002684
exact_completed_only,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.2,3304.0,3297.0,2928.270991095961,1.1259203844265913,0.09411329464735324,1.3158434591135095,0.13604024877178486
exact_completed_only,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.3,3304.0,3297.0,2928.270991095961,1.1259203844265913,0.18011195674017644,0.9149385067481539,0.13656516270695732
exact_completed_only,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.4,3304.0,3297.0,2928.270991095961,1.1259203844265913,0.24370989662206988,0.6944185031414208,0.1367054895551835
exact_completed_only,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.5,3304.0,3297.0,2928.270991095961,1.1259203844265913,0.28982568235388095,0.553894039304349,0.13676770650511733
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.1,315.0,273.0,279.17837838838614,0.9778694237567677,0.4999839721275679,4.017591823129007e-05,0.0
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.2,315.0,273.0,279.17837838838614,0.9778694237567677,0.5,0.0,0.0
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.3,315.0,273.0,279.17837838838614,0.9778694237567677,0.4999893810093899,2.6617862114490344e-05,6.956603461088619e-16
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.4,315.0,273.0,279.17837838838614,0.9778694237567677,0.4999674614248603,8.156211255176887e-05,0.0
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.5,315.0,273.0,279.17837838838614,0.9778694237567677,0.49996382830637703,9.066899010084636e-05,0.0
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.1,882.0,650.0,781.6994594874811,0.8315216188407889,0.5,0.0,1.625064270101224e-10
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.2,882.0,650.0,781.6994594874811,0.8315216188407889,0.5,0.0,3.7115935362665166e-13
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.3,882.0,650.0,781.6994594874811,0.8315216188407889,0.5,0.0,0.0
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.4,882.0,650.0,781.6994594874811,0.8315216188407889,0.5,0.0,2.1969493659732024e-13
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.5,882.0,650.0,781.6994594874811,0.8315216188407889,0.49999767441264653,5.8293830153623975e-06,4.2551797580309155e-15
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.1,398.0,802.0,352.7396653923101,2.273631458792794,1.574868219522941e-26,10.594811878734554,1.2460662587287146
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.2,398.0,802.0,352.7396653923101,2.273631458792794,2.1289186577776538e-13,7.247101870214287,1.243310983230702
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.3,398.0,802.0,352.7396653923101,2.273631458792794,2.132510590356706e-08,5.479511338265533,1.2572821732739363
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.4,398.0,802.0,352.7396653923101,2.273631458792794,4.25912416418419e-06,4.451726839648695,1.2826305708736072
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.5,398.0,802.0,352.7396653923101,2.273631458792794,7.5023896694183e-05,3.7909903356374306,1.3160779008797874
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.1,1525.0,1458.0,1351.5778636263137,1.0787391827268857,0.0818887727269288,1.3924785077494501,0.09088889680162812
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.2,1525.0,1458.0,1351.5778636263137,1.0787391827268857,0.1836856753388571,0.9014081481722228,0.09773851627062809
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.3,1525.0,1458.0,1351.5778636263137,1.0787391827268857,0.25824126285731475,0.6487770002729454,0.10002236016203356
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.4,1525.0,1458.0,1351.5778636263137,1.0787391827268857,0.30866345598518774,0.49964237885704677,0.10091384815495491
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.5,1525.0,1458.0,1351.5778636263137,1.0787391827268857,0.3440190554327732,0.4015189205013155,0.10135614947731175
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.1,1980.0,3606.0,1319.6613018156995,2.7325193176753504,1.78108155135945e-98,21.028981408985906,1.613306583305023
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.2,1980.0,3606.0,1319.6613018156995,2.7325193176753504,2.223590687020004e-26,10.562487487770403,1.5665636442907962
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.3,1980.0,3606.0,1319.6613018156995,2.7325193176753504,2.103863838989579e-12,6.930022810516202,1.5787426215523535
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.4,1980.0,3606.0,1319.6613018156995,2.7325193176753504,1.7855546217612087e-08,5.510847058562092,1.6077863285232308
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,MET_trace,0.5,1980.0,3606.0,1319.6613018156995,2.7325193176753504,1.6903868028954813e-06,4.646217011265223,1.6440864181771468
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.1,3304.0,3297.0,2202.1014854540763,1.4972062013391514,6.489115580612539e-14,7.406391518658952,0.5123744823231776
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.2,3304.0,3297.0,2202.1014854540763,1.4972062013391514,7.1635604565680855e-06,4.3387871335440344,0.5329482095019135
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.3,3304.0,3297.0,2202.1014854540763,1.4972062013391514,0.0009220226370714081,3.114263814845981,0.5536634425767223
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.4,3304.0,3297.0,2202.1014854540763,1.4972062013391514,0.006827525297349485,2.4662119547147836,0.5734380419476673
exact_plus_unit_weight_metadata,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.5,3304.0,3297.0,2202.1014854540763,1.4972062013391514,0.01949428048405763,2.064307599202567,0.5943722679330868
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.1,315.0,273.0,209.9461161979522,1.3003336520052418,0.0093960616487081,2.3496291555132274,0.2787068231413669
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.2,315.0,273.0,209.9461161979522,1.3003336520052418,0.03675157541928428,1.789693792722131,0.27581799468122203
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.3,315.0,273.0,209.9461161979522,1.3003336520052418,0.07504920379356028,1.4391839640204789,0.2841511813582941
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.4,315.0,273.0,209.9461161979522,1.3003336520052418,0.1116158377902931,1.217979730252126,0.3005562226837288
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,MET_trace,0.5,315.0,273.0,209.9461161979522,1.3003336520052418,0.1430539421994978,1.0666987663273906,0.3233757337595653
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.1,882.0,650.0,587.8491253542662,1.10572589456228,0.10543122803711286,1.2511974288310732,0.10030776048700486
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.2,882.0,650.0,587.8491253542662,1.10572589456228,0.1869448492085749,0.8892109883429313,0.10648457894947999
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.3,882.0,650.0,587.8491253542662,1.10572589456228,0.2409450366257344,0.7032658745929616,0.1172392042961551
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.4,882.0,650.0,587.8491253542662,1.10572589456228,0.27837643389260136,0.5876714121076487,0.12658986046240406
exact_plus_unit_weight_metadata,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.5,882.0,650.0,587.8491253542662,1.10572589456228,0.30693060600317423,0.5045695347675013,0.13338046568631096
exact_plus_unit_weight_metadata,Run2016G_remote_mht_aware_fresh,MET_trace,0.1,398.0,802.0,265.26525157709517,3.023388835257645,3.418748393396277e-43,13.728672355897128,1.9630358658803082
exact_plus_unit_weight_metadata,Run2016G_remote_mht_aware_fresh,MET_trace,0.2,398.0,802.0,265.26525157709517,3.023388835257645,5.4401064674235085e-21,9.327104929795203,1.9168968346103363
exact_plus_unit_weight_metadata,Run2016G_remote_mht_aware_fresh,MET_trace,0.3,398.0,802.0,265.26525157709517,3.023388835257645,1.1811459583767908e-12,7.0112316724284485,1.8874033481117645
exact_plus_unit_weight_metadata,Run2016G_remote_mht_aware_fresh,MET_trace,0.4,398.0,802.0,265.26525157709517,3.023388835257645,6.528320666040085e-09,5.685322001481896,1.8855036989970262
