mode,sample_validation_id,region,uncertainty,microband,observed,expected
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.1,q95_97,113.0,114.65268237675983
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.1,q97_98,43.0,55.233302997462395
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.1,q98_99,76.0,55.613406450605495
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.1,q99_100,41.0,53.678986563558404
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.2,q90_95,315.0,315.0
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.2,q95_97,113.0,114.65268237675983
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.2,q97_98,43.0,55.233302997462395
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.2,q98_99,76.0,55.613406450605495
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.2,q99_100,41.0,53.678986563558404
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.3,q90_95,315.0,315.0
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.3,q95_97,113.0,114.65268237675983
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.3,q97_98,43.0,55.233302997462395
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.3,q98_99,76.0,55.613406450605495
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.3,q99_100,41.0,53.678986563558404
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.4,q90_95,315.0,315.0
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.4,q95_97,113.0,114.65268237675983
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.4,q97_98,43.0,55.233302997462395
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.4,q98_99,76.0,55.613406450605495
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.4,q99_100,41.0,53.678986563558404
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.5,q90_95,315.0,315.0
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.5,q95_97,113.0,114.65268237675983
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.5,q97_98,43.0,55.233302997462395
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.5,q98_99,76.0,55.613406450605495
exact_completed_only,Run2015D_remote_mht_aware_holdout,MET_trace,0.5,q99_100,41.0,53.678986563558404
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.1,q90_95,882.0,882.0
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.1,q95_97,294.0,321.02751065492754
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.1,q97_98,119.0,154.6532483928947
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.1,q98_99,129.0,155.71753806169536
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.1,q99_100,108.0,150.30116237796355
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.2,q90_95,882.0,882.0
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.2,q95_97,294.0,321.02751065492754
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.2,q97_98,119.0,154.6532483928947
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.2,q98_99,129.0,155.71753806169536
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.2,q99_100,108.0,150.30116237796355
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.3,q90_95,882.0,882.0
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.3,q95_97,294.0,321.02751065492754
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.3,q97_98,119.0,154.6532483928947
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.3,q98_99,129.0,155.71753806169536
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.3,q99_100,108.0,150.30116237796355
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.4,q90_95,882.0,882.0
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.4,q95_97,294.0,321.02751065492754
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.4,q97_98,119.0,154.6532483928947
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.4,q98_99,129.0,155.71753806169536
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.4,q99_100,108.0,150.30116237796355
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.5,q90_95,882.0,882.0
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.5,q95_97,294.0,321.02751065492754
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.5,q97_98,119.0,154.6532483928947
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.5,q98_99,129.0,155.71753806169536
exact_completed_only,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.5,q99_100,108.0,150.30116237796355
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.1,q90_95,398.0,398.0
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.1,q95_97,263.0,144.8627542411124
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.1,q97_98,153.0,69.78683997774614
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.1,q98_99,186.0,70.26709767409837
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.1,q99_100,200.0,67.82297349935315
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.2,q90_95,398.0,398.0
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.2,q95_97,263.0,144.8627542411124
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.2,q97_98,153.0,69.78683997774614
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.2,q98_99,186.0,70.26709767409837
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.2,q99_100,200.0,67.82297349935315
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.3,q90_95,398.0,398.0
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.3,q95_97,263.0,144.8627542411124
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.3,q97_98,153.0,69.78683997774614
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.3,q98_99,186.0,70.26709767409837
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.3,q99_100,200.0,67.82297349935315
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.4,q90_95,398.0,398.0
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.4,q95_97,263.0,144.8627542411124
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.4,q97_98,153.0,69.78683997774614
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.4,q98_99,186.0,70.26709767409837
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.4,q99_100,200.0,67.82297349935315
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.5,q90_95,398.0,398.0
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.5,q95_97,263.0,144.8627542411124
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.5,q97_98,153.0,69.78683997774614
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.5,q98_99,186.0,70.26709767409837
exact_completed_only,Run2016G_remote_mht_aware_fresh,MET_trace,0.5,q99_100,200.0,67.82297349935315
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.1,q90_95,1525.0,1525.0
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.1,q95_97,560.0,555.0645734112976
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.1,q97_98,289.0,267.3993240353338
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.1,q98_99,309.0,269.23950741959806
exact_completed_only,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.1,q99_100,300.0,259.87445876008434
