sample_validation_id,stream,total_events,validation_chi2,validation_closed,signal_observed,signal_expected,signal_obs_over_exp,poisson_p,poisson_Z
Run2016H_remote_mht_aware,MET,1080,0.10364618508721173,True,58,36.97339591446431,1.5686955056597844,0.0002721048917923019,3.457995841919365
Run2016H_remote_mht_aware,JetHT,90,0.1910705469305316,True,6,1.7818504055163524,3.3672860423214335,0.0007888599775357497,3.1599947245913143
Run2016H_remote_mht_aware,HTMHT,579,0.10820009340676215,True,21,15.591191048268083,1.3469144169285736,0.08537229107068456,1.3698152443917855
Run2016G_remote_mht_aware_fresh,MET,322,0.7642821877221264,True,20,7.12740162206541,2.806071701934528,7.116829709996608e-07,4.821704642614896
Run2016G_remote_mht_aware_fresh,JetHT,22,0.4284277226987633,True,2,0.4454626013790881,4.489714723095245,0.06002814153166802,1.5545373986209117
Run2016G_remote_mht_aware_fresh,HTMHT,255,0.060252880574610576,True,10,5.791013817928145,1.7268133550366327,0.04014189342071128,1.7490418429227113
