dataset_label,record_id,process_family,primary_dataset,run_era,data_tier,xrootd_url,file_index,planned_max_events,status,output_path,notes
ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8,74907,ZNuNu,,RunIISummer20UL16MiniAODv2,MINIAODSIM,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/250000/A884A474-B24D-AE4E-A480-51F7938851EC.root,0,20000,pending,,"ZNuNu 100-200; failed local HTTPS, retry via XRootD"
WJetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8,69746,WJets,,RunIISummer20UL16MiniAODv2,MINIAODSIM,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/WJetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/140000/1CF81B2F-FC42-704E-AC15-F2D7BFE299C5.root,0,20000,pending,,"WJets inclusive; failed local HTTPS, retry via XRootD"
QCD_HT200to300_TuneCP5_PSWeights_13TeV-madgraphMLM-pythia8,63110,QCD,,RunIISummer20UL16MiniAODv2,MINIAODSIM,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/QCD_HT200to300_TuneCP5_PSWeights_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/280000/25F0004A-BF1C-3844-A663-B5BC3240514A.root,0,20000,pending,,QCD HT200-300 missing lower/mid HT coverage
QCD_HT100to200_TuneCP5_PSWeights_13TeV-madgraphMLM-pythia8,63086,QCD,,RunIISummer20UL16MiniAODv2,MINIAODSIM,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/QCD_HT100to200_TuneCP5_PSWeights_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/270000/06BD64CD-811D-F041-9C4E-DCE2C9B5AFE1.root,0,20000,pending,,QCD HT100-200 missing low HT coverage
