record_id,file_index,size,uri,eos_path,xrootd_status
74907,26,32993210,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/250000/AA1B7627-1E1E-034E-90A8-3537CC7D718C.root,/eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/250000/AA1B7627-1E1E-034E-90A8-3537CC7D718C.root,FAIL
74907,27,35352641,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/250000/A2855384-875E-1F40-A386-0AF41D364741.root,/eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/250000/A2855384-875E-1F40-A386-0AF41D364741.root,FAIL
74907,28,35487631,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/230000/0A23420A-05DE-8842-9C49-665B1C8A3B01.root,/eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/230000/0A23420A-05DE-8842-9C49-665B1C8A3B01.root,FAIL
74907,29,36968145,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/2430000/5CFB4CF4-FC45-D04C-9ECC-BBE94F9A834E.root,/eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/2430000/5CFB4CF4-FC45-D04C-9ECC-BBE94F9A834E.root,FAIL
74907,30,37490921,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/250000/9F9E1E35-B18A-DD49-9585-1A1AA725496A.root,/eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/250000/9F9E1E35-B18A-DD49-9585-1A1AA725496A.root,FAIL
74907,31,38602839,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/250000/3693A7CC-2E5C-DB48-8C67-287698793F36.root,/eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/250000/3693A7CC-2E5C-DB48-8C67-287698793F36.root,FAIL
74907,32,39274842,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/230000/16E332EB-CB47-2140-9FC0-DDC9D36740AB.root,/eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/230000/16E332EB-CB47-2140-9FC0-DDC9D36740AB.root,FAIL
74907,33,39932050,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/2510000/978C9889-0BF8-D941-86D1-C572C1885E9F.root,/eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/2510000/978C9889-0BF8-D941-86D1-C572C1885E9F.root,FAIL
74907,34,41726221,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/230000/5D2EF8C5-B8A0-4446-8840-8FF2EC848BAA.root,/eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/230000/5D2EF8C5-B8A0-4446-8840-8FF2EC848BAA.root,FAIL
74907,35,42539093,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/2430000/2904291E-1B3F-364E-B5A2-57910CD41C58.root,/eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/ZJetsToNuNu_Zpt-100to200_BPSFilter_TuneCP5_13TeV-madgraphMLM-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/2430000/2904291E-1B3F-364E-B5A2-57910CD41C58.root,FAIL
