run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,leading_muon_pt,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,HLT_PFMET120_PFMHT120_IDTight,HLT_PFMETNoMu120_PFMHTNoMu_IDTight,HLT_PFMET110_PFMHT110_IDTight,HLT_PFMET170_HBHECleaned,HLT_PFMET170_NotCleaned,HLT_PFHT800,HLT_PFHT900,HLT_IsoMu20,HLT_IsoMu24,HLT_IsoTkMu24,HLT_Mu50,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status,generator_weight,generator_weight_status,MET_fraction,N_objects,S_event_proxy,high_MET,high_multiplicity,B_event,B_event_z
279588,959,1671609016,68.1063,-0.0511029,35.9128,-0.0867821,1.0,32.1935,5,1,0,35.9128,86.6472,35.9128,15.0573,1,0,1,24.1594,24.1594,2,0,0,0.5561520000000001,20,1569,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0.6485134608847343,2,1.0986122886681096,0,0,-0.7171700711712748,-0.16070684157290074
279588,959,1671562930,34.187,1.67208,4.418769999999999,1.8035,0.0635231,29.7682,7,2,0,69.5616,140.04,36.9893,32.5723,1,0,1,22.8888,22.8888,1,0,0,0.827925,20,1454,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.32637190377723424,3,1.3862943611198906,0,0,-1.6398993924776792,-0.3642410254784501
279588,959,1672127411,34.4712,-3.01838,39.9848,-2.91057,0.28389200000000003,-5.5136,6,3,1,140.845,180.25799999999998,59.2387,48.778999999999996,1,1,2,47.5801,23.8829,2,0,0,0.623798,23,1925,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.19550784329517085,5,1.791759469228055,0,0,2.8263434697258916,0.6209158077254361
279588,959,1671452915,64.5889,1.87601,54.2407,2.1755400000000003,1.0,10.3483,4,1,1,54.2407,88.7964,54.2407,12.8089,1,0,1,50.1015,50.1015,1,0,0,0.682214,22,1602,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0.539006222168813,2,1.0986122886681096,0,0,-0.23998008701627555,-0.05544902462677778
279588,959,1671820405,44.7774,2.8128599999999997,39.5874,-2.81503,1.0,5.18997,1,1,0,39.5874,39.5874,39.5874,0.0,1,0,1,31.6609,31.6609,0,0,0,-10.0,17,1221,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0.5245417314865143,2,1.0986122886681096,0,0,-2.2203426009589116,-0.4922742764154454
279588,959,1672149873,48.4947,-0.229692,36.829,-0.22013000000000002,1.0,11.6656,8,1,0,36.829,136.98,36.829,24.3127,1,0,1,16.2017,16.2017,0,0,0,0.526267,21,1742,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.5617773566239631,2,1.0986122886681096,0,0,-1.9239721585852467,-0.4269013498925871
279588,959,1672470136,67.473,2.2321400000000002,53.5306,2.0754599999999996,1.0,13.9424,9,1,1,53.5306,170.627,53.5306,28.3193,1,0,1,37.5633,37.5633,2,0,0,0.5575319999999999,26,1946,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0.5530410578048516,2,1.0986122886681096,0,0,-0.06135449030166906,-0.016048071159215242
279588,959,1671957446,39.1455,0.719067,37.9406,-1.7912099999999997,0.380196,1.2049,9,2,1,99.7923,220.05200000000002,66.8301,32.9622,1,0,1,24.6884,24.6884,0,0,0,0.38186,13,1073,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.27973499654846656,3,1.3862943611198906,0,0,-0.446934454589327,-0.10109869386025698
279588,959,1671212678,31.1041,-0.87987,41.7431,-0.238677,1.0,-10.639000000000001,4,1,0,41.7431,100.67399999999999,41.7431,29.0369,1,0,1,22.5314,22.5314,3,1,1,0.995761,20,1531,2,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.4211953872320142,2,1.3862943611198906,0,0,-0.469642971241123,-0.10610770278378948
279588,959,1672136629,49.2003,0.324167,36.4721,-0.646177,0.0757701,12.7282,11,7,5,481.353,543.366,113.01799999999999,103.01299999999999,1,1,2,33.9711,15.4329,1,0,0,0.584982,19,1742,8,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.09255948556805121,9,2.302585092994046,0,1,15.224368930946543,3.3556527842388677
