run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,HLT_PFMET120_PFMHT120_IDTight,HLT_PFMETNoMu120_PFMHTNoMu_IDTight,HLT_PFHT800,HLT_PFHT900,HLT_IsoMu20,HLT_IsoMu24,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status,generator_weight,generator_weight_status,MET_fraction,N_objects,S_event_proxy,high_MET,high_multiplicity,B_event,B_event_z
280330,41,78940291,29.9313,-0.520413,21.7029,-1.5373,0.045865300000000005,8.22835,8,3,2,473.189,557.508,218.937,212.355,0,0,0,0.0,1,0,0,0.73105,15,1389,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.05937332815203037,3,1.3862943611198906,0,0,-4.297064449723065,-1.0563367032217847
280330,41,80190792,52.1905,-2.37462,85.3715,-2.98378,0.10198600000000001,-33.1809,4,3,3,837.0880000000001,855.041,449.66,330.404,0,0,0,0.0,0,0,0,0.5067189999999999,16,1369,3,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0.05862266695197064,3,1.3862943611198906,0,0,-1.7965665218419102,-0.4749300851158242
280330,41,79022658,27.0048,2.03193,31.2353,0.67743,0.03716269999999999,-4.23051,15,5,3,840.502,977.69,368.458,317.01099999999997,0,0,0,0.0,1,0,0,0.558339,25,1769,8,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0.03109336622349992,5,1.791759469228055,0,0,-0.9390999490683736,-0.27555509877555745
280330,41,79034184,3.18764,-2.0613799999999998,95.9244,0.854525,0.188586,-92.7368,10,5,4,508.65,589.305,288.323,73.1594,1,0,1,11.1619,1,1,1,0.981985,23,1525,6,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.006215690408371742,6,2.0794415416798357,0,0,0.7995304894175876,0.12870488164872979
280330,41,79947141,38.3701,-1.0923100000000001,10.1568,2.99059,0.00595267,28.2133,12,4,4,1706.26,1817.53,824.268,701.362,0,2,2,30.0693,3,0,0,0.795082,19,1782,4,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0.02198065901819635,6,1.9459101490553132,0,0,4.274771910074163,0.9367552859127429
280330,41,80024327,84.4539,2.25028,47.5312,1.74542,0.0537386,36.9226,8,5,4,884.49,932.175,347.586,318.731,0,0,0,0.0,2,0,0,0.728696,35,2109,7,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0.08707091203934579,5,1.791759469228055,0,0,1.998976377259893,0.4075956455544702
280330,41,79189702,29.0147,1.4082700000000001,127.434,-2.57006,0.152968,-98.4193,11,5,4,833.079,935.085,432.81699999999995,227.00599999999997,2,1,3,51.4031,4,1,0,0.933258,32,2183,5,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0.03361709163211365,8,2.302585092994046,0,0,4.964950226545841,1.0972330197255005
280330,41,79063558,33.9058,0.6822699999999999,41.5226,-0.8490850000000001,0.125533,-7.61687,7,2,2,330.77099999999996,402.94599999999997,172.264,158.507,0,1,1,29.7547,1,0,0,0.6587609999999999,21,1852,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.09272067574426379,3,1.3862943611198906,0,0,-4.055287009769696,-1.0001194985881778
280330,41,80205191,49.5517,1.09666,93.7695,-0.140192,0.12218399999999999,-44.2178,9,7,6,767.447,802.9960000000001,180.858,170.104,3,0,3,917.428,1,0,0,0.645879,24,1764,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.0605767466378614,10,2.3978952727983707,0,1,7.548600389535679,1.6979738909269868
280330,41,78507140,60.2255,1.47194,14.0634,-1.04485,0.0225809,46.1621,7,2,2,622.802,694.002,315.46,307.342,1,1,2,67.5935,1,0,0,0.556217,17,1706,2,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.0880454367697205,4,1.6094379124341003,0,0,-1.0411158070433364,-0.2992754523567583
