run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,HLT_PFMET120_PFMHT120_IDTight,HLT_PFMETNoMu120_PFMHTNoMu_IDTight,HLT_PFHT800,HLT_PFHT900,HLT_IsoMu20,HLT_IsoMu24,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status,generator_weight,generator_weight_status
280330,41,79042849,30.154,-0.795853,2.44313,-3.0099,0.00265786,27.7109,11,7,4,919.209,970.511,365.282,254.046,0,0,0,0,1,0,0,0.666953,21,1984,5,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,79199526,33.0197,0.499572,55.0925,0.262263,0.08598,-22.0729,11,3,2,640.76,760.048,329.962,268.221,0,0,0,0,2,1,0,0.850623,28,2038,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,79824487,3.00593,-2.51063,95.9509,-0.561904,0.153063,-92.945,13,4,3,626.873,748.931,349.06,159.938,0,0,0,0,6,0,0,0.765543,25,1620,5,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,78763489,49.1449,-2.68859,58.9566,2.52119,0.10071,-9.81169,7,3,3,585.412,646.117,287.472,209.982,0,0,0,0,1,0,0,0.765171,25,1879,4,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,79675880,76.673,0.112543,74.364,1.05569,0.153545,2.309,11,8,5,484.315,520.532,101.184,85.6991,1,2,3,50.1667,2,2,0,0.91803,26,1648,5,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,79124648,18.6558,-2.91087,72.2002,-2.39248,0.0740968,-53.5444,8,4,4,974.403,1032.87,384.586,342.548,1,0,1,16.5638,1,1,0,0.911337,24,1528,2,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0
280330,41,78946662,25.2778,2.02769,45.7636,-2.20056,0.0466743,-20.4858,16,4,3,980.489,1141.36,430.962,347.096,0,0,0,0,2,0,0,0.768573,24,1904,2,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0
280330,41,78408316,51.4858,1.94752,81.6835,2.75689,0.0902201,-30.1977,8,3,3,905.381,968.484,414.285,360.782,0,0,0,0,2,0,0,0.612977,21,1466,2,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,79543976,80.523,0.168227,167.355,0.0403686,0.441907,-86.8324,7,3,2,378.712,451.251,239.117,95.6361,0,0,0,0,0,0,0,0.536017,26,1746,4,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,80301986,9.56841,-0.490685,23.6821,-1.90698,0.101497,-14.1137,5,4,1,233.327,250.716,97.7532,48.268,0,1,1,19.9911,0,0,0,0.475964,24,1636,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,78588027,28.154,1.89352,35.8363,0.705578,0.0912323,-7.68231,10,5,2,392.803,454.928,174.105,107.038,0,1,1,17.4748,1,0,0,0.701438,22,1482,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,78971071,15.2032,-1.6187,143.449,-3.09374,0.612496,-128.246,7,2,2,234.204,296.929,167.759,66.4441,0,0,0,0,2,0,0,0.790971,29,1922,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,79417826,49.4483,0.502254,114.392,-0.623179,0.134163,-64.9438,9,4,4,852.633,914.098,475.318,169.172,1,0,1,13.6027,2,0,0,0.778671,35,2096,6,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0
280330,41,78633529,44.4918,-1.35635,23.5211,-2.99138,0.0399852,20.9707,11,6,5,588.244,664.566,206.331,99.2473,1,1,2,28.0781,2,0,0,0.726256,28,1671,5,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,78571904,60.5155,-0.782053,63.6151,-1.50557,0.0655931,-3.09956,9,5,4,969.843,1036.99,440.423,234.906,1,0,1,13.6201,0,0,0,0.414032,24,1655,6,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0
280330,41,79981945,13.4088,-2.24686,25.3106,-0.580237,0.0391647,-11.9018,7,4,2,646.26,704.731,296.638,277.82,0,0,0,0,1,0,0,0.545142,17,1244,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,79038460,47.4347,0.721792,80.2776,3.01733,1,-32.8428,4,1,1,80.2776,121.768,80.2776,19.6091,0,0,0,0,1,0,0,0.708604,21,1547,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,78636991,26.8712,-1.73038,30.8117,-2.20808,0.0854035,-3.9405,12,4,3,360.778,515.725,161.663,80.8168,0,1,1,29.4196,4,0,0,0.792175,27,1987,9,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,80295296,12.5232,1.03921,0,0,0,12.5232,7,0,0,0,87.6348,16.0507,14.947,0,0,0,0,1,0,0,0.554691,22,1777,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,79715840,5.7705,1.61648,30.1728,-1.05408,0.0810905,-24.4023,19,7,2,372.089,538.382,129.397,52.5402,0,1,1,16.732,2,0,0,0.554766,27,2159,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,78468224,18.4903,-2.7081,27.9853,-0.589775,0.0684975,-9.49498,12,5,4,408.559,518.652,131.989,116.404,0,1,1,45.2697,2,0,0,0.71202,31,2048,5,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,78823039,28.4471,1.78175,97.9931,0.00761988,0.960631,-69.546,7,2,1,102.009,175.312,68.4524,33.5567,0,0,0,0,1,0,0,0.604257,23,1513,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,79334526,22.4287,2.08843,46.8463,0.805617,0.0593689,-24.4176,17,8,5,789.071,900.733,250.304,200.837,0,1,1,46.8753,2,1,1,0.995805,28,2122,6,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
