run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status,MET_fraction,N_objects,S_event_proxy,high_MET,high_multiplicity,B_event,B_event_z
259721,196,233977485,51.5549,-1.23183,43.5274,2.9209,1.0,8.02749,4,1,0,43.5274,86.0389,43.5274,18.9205,1,0,1,21.9426,1,1,0,0.9012129999999999,26,2003,0,1,1,1,1,0,0,1,0,1,1,1,1,-1,-1,1,0.536570211162722,2,1.3862943611198906,0,0,1.5872185373790206,0.35560084107893175
259721,196,234550208,99.3553,-2.19057,44.3131,-2.33268,0.20926999999999998,55.0422,5,2,2,211.75,267.159,128.031,83.7196,2,1,3,49.025,3,3,1,0.998948,14,1273,6,1,1,1,1,1,1,1,0,1,1,1,1,-1,-1,1,0.3183390349346839,5,2.1972245773362196,0,0,16.517114802131413,3.711493040523614
259721,196,234491848,13.1482,-2.91931,0.0,0.0,0.0,13.1482,4,0,0,0.0,58.3953,25.2921,11.9146,1,0,1,13.7849,1,0,0,0.646034,23,1650,1,1,1,1,1,0,0,1,0,1,1,1,1,-1,-1,1,0.9293196307657511,1,0.6931471805599453,0,0,-3.8007914541157204,-0.8554980426872968
259721,196,233791424,16.4386,-0.88508,30.1405,-0.780015,1.0,-13.7018,4,1,0,30.1405,84.8885,30.1405,27.8043,1,0,1,13.2855,0,0,0,0.518796,21,1531,0,1,1,1,1,0,0,1,0,1,1,1,1,-1,-1,1,0.345500440319384,2,1.0986122886681096,0,0,-3.502319746722039,-0.78840856953656
259721,196,233691103,37.0867,3.05611,31.9019,-1.48084,1.0,5.184769999999999,6,1,0,31.9019,123.01299999999999,31.9019,23.8666,1,0,1,19.4639,0,0,0,0.5375300000000001,21,1701,1,1,1,1,1,0,0,1,0,1,1,1,1,-1,-1,1,0.5298962973970046,2,1.0986122886681096,0,0,-1.8548808632582707,-0.4181027616435535
259721,196,233415696,54.4859,-2.31891,29.7555,-1.73125,0.22564800000000002,24.7305,5,2,2,131.86700000000002,172.736,79.9025,51.9643,1,0,1,26.3311,0,0,0,0.525076,20,1675,1,1,1,1,1,0,0,1,0,1,1,1,1,-1,-1,1,0.29081962435596137,3,1.3862943611198906,0,0,2.7051583845071865,0.6068876247174122
259721,196,233539727,39.6887,-0.39664099999999997,30.6256,-1.24736,1.0,9.06306,5,1,0,30.6256,98.6091,30.6256,25.5604,1,0,1,21.8622,0,0,0,0.528293,12,1186,0,1,1,1,1,0,0,1,0,1,1,1,1,-1,-1,1,0.5565321401177603,2,1.0986122886681096,0,0,-1.6488556250429565,-0.37179309695768353
259721,196,234046790,32.9777,-2.58649,19.387999999999998,-2.80801,0.116967,13.5898,9,3,2,165.755,252.472,69.3525,62.7884,1,0,1,30.9751,1,0,0,0.714147,17,1536,3,1,1,1,1,0,0,1,0,1,1,1,1,-1,-1,1,0.16510916840357137,4,1.6094379124341003,0,0,2.913412530684498,0.6536982958878754
259721,196,233643705,41.0259,-2.32151,39.4198,-2.13079,1.0,1.6061,4,1,0,39.4198,78.5221,39.4198,14.2289,1,0,1,35.209,0,0,0,0.534695,18,1672,0,1,1,1,1,0,0,1,0,1,1,1,1,-1,-1,1,0.5037208839754584,2,1.0986122886681096,0,0,-1.681340491395775,-0.3790949366798254
259721,196,234386063,40.986999999999995,1.85677,16.1194,0.193328,0.040397,24.8676,6,2,2,399.024,460.316,206.43900000000002,192.585,1,0,1,45.0121,0,0,0,0.38851199999999997,18,1345,0,1,1,1,1,0,1,1,0,1,1,1,1,-1,-1,1,0.0929387248844133,3,1.3862943611198906,0,0,3.6599062006013727,0.8214926488682925
259721,196,234637771,9.9117,-2.5140700000000002,0.0,0.0,0.0,9.9117,5,0,0,0.0,88.535,26.7596,18.7627,1,0,1,22.721,0,0,0,0.363156,10,1111,0,1,1,1,1,0,0,1,0,1,1,1,1,-1,-1,1,0.9083552517023012,1,0.6931471805599453,0,0,-4.03053615241048,-0.9071392883596723
259721,196,234331347,1.70702,-1.08036,12.1539,0.0410388,0.0722915,-10.4468,5,2,2,168.123,204.706,85.2995,82.8235,1,0,1,37.927,1,0,0,0.543683,19,1333,1,1,1,1,1,0,0,1,0,1,1,1,1,-1,-1,1,0.009992506000994439,3,1.3862943611198906,0,0,-0.5314904440051076,-0.12063548484294186
259721,196,234347781,20.9115,-1.4026100000000001,51.7559,-2.3709599999999997,0.26321500000000003,-30.8443,5,3,2,196.63,232.84,92.1289,70.1156,1,0,1,50.0484,0,0,0,0.267468,15,1317,0,1,1,1,1,0,0,1,0,1,1,1,1,-1,-1,1,0.095686631600863,4,1.6094379124341003,0,0,2.3487353004699933,0.5267720347486918
259721,196,234004878,47.1991,1.09691,46.6468,0.554241,1.0,0.552361,1,1,0,46.6468,46.6468,46.6468,0.0,1,0,1,39.8948,0,0,0,-10.0,17,1324,0,1,1,1,1,0,0,1,0,1,1,1,1,-1,-1,1,0.497639855808211,2,1.0986122886681096,0,0,-1.3331863536906714,-0.3008380128398845
259721,196,234378786,19.7246,-2.20162,8.27367,-0.198483,0.117347,11.450999999999999,2,2,0,70.5061,70.5061,38.9281,31.5781,1,0,1,21.5686,0,0,0,0.21096900000000002,13,1062,1,1,1,1,1,0,0,1,0,1,1,1,1,-1,-1,1,0.21620572899254306,3,1.3862943611198906,0,0,-1.8782345419143625,-0.4233521235038461
259721,196,234214633,18.7908,-0.0185365,46.1137,1.65422,1.0,-27.3229,1,1,0,46.1137,46.1137,46.1137,0.0,1,0,1,29.5569,0,0,0,0.13057,18,1307,1,1,1,1,1,0,0,1,0,1,1,1,1,-1,-1,1,0.2851216533013679,2,1.0986122886681096,0,0,-3.4481307474333924,-0.7762281473297552
259721,196,233300808,27.0986,-2.82681,53.9651,-2.2425,0.448842,-26.8664,3,2,1,120.23200000000001,132.406,80.7811,39.4507,1,0,1,61.5568,0,0,0,0.192097,14,1057,0,1,1,1,1,0,0,1,0,1,1,1,1,-1,-1,1,0.18269055744397986,3,1.3862943611198906,0,0,-0.15433835568589022,-0.035860498550314444
259721,196,233707561,40.8959,2.95739,77.6083,-3.13447,1.0,-36.7125,1,1,1,77.6083,77.6083,77.6083,0.0,1,0,1,59.5569,0,0,0,0.196221,20,1235,0,1,1,1,1,0,0,1,0,1,1,1,1,-1,-1,1,0.34221307702992865,2,1.0986122886681096,0,0,-0.8497378293122733,-0.19217006880166676
259721,196,234302177,24.6394,2.84948,0.0,0.0,0.0,24.6394,3,0,0,0.0,51.9948,26.1908,13.7471,1,0,1,19.01,1,1,0,0.9260860000000001,21,1459,1,1,1,1,1,0,0,1,0,1,1,1,1,-1,-1,1,0.9609975272432272,1,1.0986122886681096,0,0,-0.26589400183094325,-0.06093560396722428
259721,196,234152616,16.9928,-0.434507,8.56144,-1.97455,0.12351500000000001,8.43138,2,2,0,69.3152,69.3152,38.9002,30.415,1,0,1,23.0937,0,0,0,0.24711100000000003,18,1774,0,1,1,1,1,0,0,1,0,1,1,1,1,-1,-1,1,0.19463050350483344,3,1.3862943611198906,0,0,-2.0950722642246906,-0.4720921822385174
259721,196,234409810,44.8798,-1.11788,37.2995,-2.11891,1.0,7.58025,4,1,0,37.2995,88.209,37.2995,20.5907,1,0,1,31.5707,0,0,0,0.41124499999999997,13,1202,0,1,1,1,1,0,0,1,0,1,1,1,1,-1,-1,1,0.5395549133017469,2,1.0986122886681096,0,0,-1.3900557449559616,-0.3136209245996214
259721,196,233796944,32.8795,0.7239220000000001,60.2344,1.6325100000000001,0.6164850000000001,-27.3548,4,2,1,97.7062,119.985,55.9098,41.7964,1,0,1,49.5968,1,0,0,0.577372,19,1361,1,1,1,1,1,0,0,1,0,1,1,1,1,-1,-1,1,0.24987137660095282,3,1.3862943611198906,0,0,0.16195055949187687,0.03523386703625668
259721,196,234657866,7.28901,-1.09285,3.12197,2.37661,0.0392461,4.16705,5,2,0,79.5484,129.119,40.8863,38.6622,2,0,2,72.7713,0,0,0,0.26658000000000004,19,1277,0,1,1,1,1,0,0,1,0,1,1,1,1,-1,-1,1,0.08298297957555897,4,1.6094379124341003,0,0,-0.8103251044251848,-0.1833110081851707
