primary_dataset,run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,HLT_PFMET120_PFMHT120_IDTight,HLT_PFMETNoMu120_PFMHTNoMu_IDTight,HLT_PFHT800,HLT_PFHT900,HLT_IsoMu20,HLT_IsoMu24,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status,generator_weight,generator_weight_status,HLT_PFMET110_PFMHT110_IDTight,HLT_PFMET170_HBHECleaned,HLT_PFMET170_NotCleaned,HLT_IsoTkMu24,HLT_Mu50,leading_muon_pt
MET,279975,93,66620040,38.8046,0.771562,43.2799,-0.351466,1.0,-4.47522,6,1,0,43.2799,122.081,43.2799,20.8259,0,0,0,0.0,1,0,0,0.55548,24,1743,2,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,
MET,279975,93,66531335,24.61,-2.91146,0.0,0.0,0.0,24.61,4,0,0,0.0,71.8089,24.7774,23.7089,0,0,0,0.0,0,0,0,0.527979,23,1599,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,0,0.0,1.0,0.0,0.0,0.0,
MET,279975,93,65810184,55.0023,-0.768184,40.9665,-1.42734,0.625943,14.0358,5,2,0,65.4476,111.888,34.2067,31.2409,1,0,1,17.0965,0,0,0,0.533307,24,1984,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,
MET,279975,93,66465630,61.0598,0.359304,0.0,0.0,0.0,61.0598,9,0,0,0.0,131.284,21.9294,19.5294,0,0,0,0.0,0,0,0,0.533594,27,2058,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,0,0.0,1.0,0.0,0.0,0.0,
MET,279975,93,66097028,40.6751,1.59691,0.0,0.0,0.0,40.6751,8,0,0,0.0,128.721,22.0342,19.5672,0,0,0,0.0,4,0,0,0.67644,27,2018,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,0,0.0,1.0,0.0,0.0,0.0,
MET,279975,93,65997957,71.0423,-0.998001,48.405,-2.49556,1.0,22.6374,6,1,0,48.405,125.223,48.405,20.3219,0,0,0,0.0,1,0,0,0.668248,32,2389,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,
MET,279975,93,66073992,284.514,2.88791,238.281,3.0057,1.0,46.2337,4,1,1,238.281,282.193,238.281,21.1421,0,0,0,0.0,0,0,0,0.529794,27,1674,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,-1,1,1,1,-1,1,1,0,0.0,1.0,0.0,0.0,0.0,
MET,279975,93,65866017,139.4,-0.563176,61.9202,-1.67386,0.957223,77.4799,22,2,0,64.6874,430.117,33.6298,31.0576,1,0,1,10.2983,6,0,0,0.7464,67,3490,7,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1.0,0.0,0.0,0.0,0.0,
MET,279975,93,66852163,85.4387,0.880038,90.533,-0.444268,0.27489,-5.09422,15,5,3,329.343,485.405,88.6498,87.5238,1,1,2,1423.48,3,0,0,0.552521,26,2016,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,
MET,279975,93,66263496,188.895,-1.17297,198.796,-1.24238,1.0,-9.90085,5,1,1,198.796,274.756,198.796,27.0891,0,0,0,0.0,2,1,0,0.901517,29,2144,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1.0,1.0,0.0,0.0,0.0,
