primary_dataset,trigger,offline_variable,bin,total,passed,value_low,value_high,efficiency
SingleMuon,HLT_IsoMu24,leading_muon_pt,"[190, 200)",0,0.0,,,
SingleMuon,HLT_IsoMu24,leading_muon_pt,"[200, 210)",1,1.0,201.174,201.174,1.0
SingleMuon,HLT_IsoMu24,leading_muon_pt,"[210, 220)",0,0.0,,,
SingleMuon,HLT_IsoMu24,leading_muon_pt,"[220, 230)",0,0.0,,,
SingleMuon,HLT_IsoMu24,leading_muon_pt,"[230, 240)",1,1.0,231.32,231.32,1.0
SingleMuon,HLT_IsoMu24,leading_muon_pt,"[240, 250)",1,1.0,242.887,242.887,1.0
SingleMuon,HLT_IsoTkMu24,leading_muon_pt,"[0, 10)",82,10.0,0.0,0.0,0.12195121951219512
SingleMuon,HLT_IsoTkMu24,leading_muon_pt,"[10, 20)",309,1.0,10.11,19.9513,0.003236245954692557
SingleMuon,HLT_IsoTkMu24,leading_muon_pt,"[20, 30)",1663,813.0,20.0475,29.9953,0.4888755261575466
SingleMuon,HLT_IsoTkMu24,leading_muon_pt,"[30, 40)",1471,1196.0,30.0088,39.999,0.8130523453433038
SingleMuon,HLT_IsoTkMu24,leading_muon_pt,"[40, 50)",720,545.0,40.0008,49.9575,0.7569444444444444
SingleMuon,HLT_IsoTkMu24,leading_muon_pt,"[50, 60)",366,155.0,50.008,59.9782,0.42349726775956287
SingleMuon,HLT_IsoTkMu24,leading_muon_pt,"[60, 70)",143,61.0,60.029,69.5158,0.42657342657342656
SingleMuon,HLT_IsoTkMu24,leading_muon_pt,"[70, 80)",71,40.0,70.1532,79.9033,0.5633802816901409
SingleMuon,HLT_IsoTkMu24,leading_muon_pt,"[80, 90)",47,21.0,80.583,89.7647,0.44680851063829785
SingleMuon,HLT_IsoTkMu24,leading_muon_pt,"[90, 100)",23,12.0,90.1789,99.8865,0.5217391304347826
SingleMuon,HLT_IsoTkMu24,leading_muon_pt,"[100, 110)",18,9.0,100.265,109.658,0.5
SingleMuon,HLT_IsoTkMu24,leading_muon_pt,"[110, 120)",22,10.0,110.592,119.931,0.45454545454545453
SingleMuon,HLT_IsoTkMu24,leading_muon_pt,"[120, 130)",13,6.0,120.41,129.686,0.46153846153846156
SingleMuon,HLT_IsoTkMu24,leading_muon_pt,"[130, 140)",8,3.0,130.833,139.874,0.375
SingleMuon,HLT_IsoTkMu24,leading_muon_pt,"[140, 150)",7,4.0,141.011,147.416,0.5714285714285714
SingleMuon,HLT_IsoTkMu24,leading_muon_pt,"[150, 160)",4,1.0,154.816,158.255,0.25
SingleMuon,HLT_IsoTkMu24,leading_muon_pt,"[160, 170)",3,2.0,162.01,165.805,0.6666666666666666
SingleMuon,HLT_IsoTkMu24,leading_muon_pt,"[170, 180)",4,3.0,173.71,179.88,0.75
SingleMuon,HLT_IsoTkMu24,leading_muon_pt,"[180, 190)",4,3.0,183.838,189.551,0.75
SingleMuon,HLT_IsoTkMu24,leading_muon_pt,"[190, 200)",0,0.0,,,
SingleMuon,HLT_IsoTkMu24,leading_muon_pt,"[200, 210)",1,1.0,201.174,201.174,1.0
