analysis,experiment,sqrt_s,luminosity,signal_region,N_obs,N_exp,sigma_exp,MET,HT_or_meff,N_jets,N_leptons,N_btags,category,source_path,source_url,source_comment,MET_extracted,HT_or_meff_extracted,N_jets_extracted,N_btags_extracted,N_leptons_extracted,MT2_low,MT2_high,MET_threshold,HT_meff_threshold,Njets_threshold,Nb_threshold,is_compressed,is_disappearing_track,is_long_lived,is_displaced,is_high_MET_label,is_high_multiplicity_label,category_enriched,MET_enriched,HT_or_meff_enriched,N_jets_enriched,N_leptons_enriched,N_btags_enriched,Delta_N,Z,z_MET,z_HT_or_meff,z_N_jets,z_N_leptons,z_N_btags,category_bonus,B_access,B_access_z
ATLAS-SUSY-2016-06-eff,ATLAS,13,36.1,SR_EW,9.0,11.8,3.1,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2016-06-eff/SR_EW/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-06-eff/SR_EW/dataInfo.txt,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,-2.8000000000000007,-0.9032258064516131,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.13810005754088728
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,2j_Meff_1200,611.0,526.0,31.0,,1200.0,2.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_1200/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_1200/dataInfo.txt,,,1200.0,,,,,,,1200.0,,,0,0,0,0,0,0,,,1200.0,2.0,,,85.0,2.7419354838709675,0.0,-0.3413548735514397,-0.40520708046367415,0.0,0.0,0,-0.7465619540151138,-0.6226712269353122
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,2j_Meff_1600,216.0,228.0,19.0,,1600.0,2.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_1600/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_1600/dataInfo.txt,,,1600.0,,,,,,,1600.0,,,0,0,0,0,0,0,,,1600.0,2.0,,,-12.0,-0.631578947368421,0.0,-0.34115784665598997,-0.40520708046367415,0.0,0.0,0,-0.7463649271196642,-0.6225433426349983
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,2j_Meff_2000,73.0,90.0,10.0,,2000.0,2.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_2000/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_2000/dataInfo.txt,,,2000.0,,,,,,,2000.0,,,0,0,0,0,0,0,,,2000.0,2.0,,,-17.0,-1.7,0.0,-0.3409608197605403,-0.40520708046367415,0.0,0.0,0,-0.7461679002242145,-0.6224154583346845
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,2j_Meff_2100,190.0,153.0,14.0,,2100.0,2.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_2100/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_2100/dataInfo.txt,,,2100.0,,,,,,,2100.0,,,0,0,0,0,0,0,,,2100.0,2.0,,,37.0,2.642857142857143,0.0,-0.3409115630366779,-0.40520708046367415,0.0,0.0,0,-0.7461186435003521,-0.6223834872596059
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,2j_Meff_2400,34.0,42.0,4.0,,2400.0,2.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_2400/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_2400/dataInfo.txt,,,2400.0,,,,,,,2400.0,,,0,0,0,0,0,0,,,2400.0,2.0,,,-8.0,-2.0,0.0,-0.3407637928650907,-0.40520708046367415,0.0,0.0,0,-0.7459708733287649,-0.6222875740343705
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,2j_Meff_2800,19.0,17.3,2.0,,2800.0,2.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_2800/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_2800/dataInfo.txt,,,2800.0,,,,,,,2800.0,,,0,0,0,0,0,0,,,2800.0,2.0,,,1.6999999999999993,0.8499999999999996,0.0,-0.340566765969641,-0.40520708046367415,0.0,0.0,0,-0.7457738464333152,-0.6221596897340567
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,2j_Meff_3600,5.0,3.6,0.9,,3600.0,2.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_3600/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_3600/dataInfo.txt,,,3600.0,,,,,,,3600.0,,,0,0,0,0,0,0,,,3600.0,2.0,,,1.4,1.5555555555555554,0.0,-0.3401727121787417,-0.40520708046367415,0.0,0.0,0,-0.7453797926424158,-0.6219039211334288
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,3j_Meff_1300,429.0,390.0,29.0,,1300.0,3.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/3j_Meff_1300/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/3j_Meff_1300/dataInfo.txt,,,1300.0,,,,,,,1300.0,,,0,0,0,0,0,0,,,1300.0,3.0,,,39.0,1.3448275862068966,0.0,-0.34130561682757726,-0.35898059252533615,0.0,0.0,0,-0.7002862093529134,-0.592635016832505
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,4j_Meff_1000,142.0,124.0,12.0,,1000.0,4.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/4j_Meff_1000/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/4j_Meff_1000/dataInfo.txt,,,1000.0,,,,,,,1000.0,,,0,0,0,0,0,0,,,1000.0,4.0,,,18.0,1.5,0.0,-0.3414533869991645,-0.31275410458699815,0.0,0.0,0,-0.6542074915861626,-0.5627266910300116
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,4j_Meff_1400,199.0,182.0,16.0,,1400.0,4.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/4j_Meff_1400/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/4j_Meff_1400/dataInfo.txt,,,1400.0,,,,,,,1400.0,,,0,0,0,0,0,0,,,1400.0,4.0,,,17.0,1.0625,0.0,-0.34125636010371485,-0.31275410458699815,0.0,0.0,0,-0.654010464690713,-0.5625988067296978
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,4j_Meff_1800,55.0,49.0,7.0,,1800.0,4.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/4j_Meff_1800/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/4j_Meff_1800/dataInfo.txt,,,1800.0,,,,,,,1800.0,,,0,0,0,0,0,0,,,1800.0,4.0,,,6.0,0.8571428571428571,0.0,-0.34105933320826515,-0.31275410458699815,0.0,0.0,0,-0.6538134377952634,-0.5624709224293839
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,4j_Meff_2200,24.0,16.5,2.7,,2200.0,4.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/4j_Meff_2200/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/4j_Meff_2200/dataInfo.txt,,,2200.0,,,,,,,2200.0,,,0,0,0,0,0,0,,,2200.0,4.0,,,7.5,2.7777777777777777,0.0,-0.3408623063128155,-0.31275410458699815,0.0,0.0,0,-0.6536164108998137,-0.5623430381290699
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,4j_Meff_2600,4.0,5.8,2.0,,2600.0,4.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/4j_Meff_2600/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/4j_Meff_2600/dataInfo.txt,,,2600.0,,,,,,,2600.0,,,0,0,0,0,0,0,,,2600.0,4.0,,,-1.7999999999999998,-0.8999999999999999,0.0,-0.34066527941736585,-0.31275410458699815,0.0,0.0,0,-0.6534193840043641,-0.5622151538287561
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,4j_Meff_3000,2.0,2.0,0.6,,3000.0,4.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/4j_Meff_3000/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/4j_Meff_3000/dataInfo.txt,,,3000.0,,,,,,,3000.0,,,0,0,0,0,0,0,,,3000.0,4.0,,,0.0,0.0,0.0,-0.3404682525219162,-0.31275410458699815,0.0,0.0,0,-0.6532223571089144,-0.5620872695284422
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,5j_Meff_1600,135.0,128.0,14.0,,1600.0,5.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/5j_Meff_1600/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/5j_Meff_1600/dataInfo.txt,,,1600.0,,,,,,,1600.0,,,0,0,0,0,0,0,,,1600.0,5.0,,,7.0,0.5,0.0,-0.34115784665598997,-0.26652761664866015,0.0,0.0,0,-0.6076854633046501,-0.532530625551812
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,5j_Meff_1700,49.0,43.0,5.0,,1700.0,5.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/5j_Meff_1700/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/5j_Meff_1700/dataInfo.txt,,,1700.0,,,,,,,1700.0,,,0,0,0,0,0,0,,,1700.0,5.0,,,6.0,1.2,0.0,-0.34110858993212756,-0.26652761664866015,0.0,0.0,0,-0.6076362065807877,-0.5324986544767335
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,5j_Meff_2000,59.0,65.0,7.0,,2000.0,5.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/5j_Meff_2000/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/5j_Meff_2000/dataInfo.txt,,,2000.0,,,,,,,2000.0,,,0,0,0,0,0,0,,,2000.0,5.0,,,-6.0,-0.8571428571428571,0.0,-0.3409608197605403,-0.26652761664866015,0.0,0.0,0,-0.6074884364092005,-0.5324027412514981
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,5j_Meff_2600,10.0,9.4,2.1,,2600.0,5.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/5j_Meff_2600/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/5j_Meff_2600/dataInfo.txt,,,2600.0,,,,,,,2600.0,,,0,0,0,0,0,0,,,2600.0,5.0,,,0.5999999999999996,0.28571428571428553,0.0,-0.34066527941736585,-0.26652761664866015,0.0,0.0,0,-0.607192896066026,-0.5322109148010273
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,6j_Meff_1200,276.0,274.0,32.0,,1200.0,6.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/6j_Meff_1200/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/6j_Meff_1200/dataInfo.txt,,,1200.0,,,,,,,1200.0,,,0,0,0,0,0,0,,,1200.0,6.0,,,2.0,0.0625,0.0,-0.3413548735514397,-0.22030112871032215,0.0,0.0,0,-0.5616560022617618,-0.5026542708243972
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,6j_Meff_1800,9.0,5.1,1.8,,1800.0,6.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/6j_Meff_1800/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/6j_Meff_1800/dataInfo.txt,,,1800.0,,,,,,,1800.0,,,0,0,0,0,0,0,,,1800.0,6.0,,,3.9000000000000004,2.166666666666667,0.0,-0.34105933320826515,-0.22030112871032215,0.0,0.0,0,-0.5613604619185872,-0.5024624443739263
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,6j_Meff_2200,3.0,3.1,1.3,,2200.0,6.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/6j_Meff_2200/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/6j_Meff_2200/dataInfo.txt,,,2200.0,,,,,,,2200.0,,,0,0,0,0,0,0,,,2200.0,6.0,,,-0.10000000000000009,-0.07692307692307698,0.0,-0.3408623063128155,-0.22030112871032215,0.0,0.0,0,-0.5611634350231376,-0.5023345600736123
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,6j_Meff_2600,1.0,2.2,1.4,,2600.0,6.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/6j_Meff_2600/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/6j_Meff_2600/dataInfo.txt,,,2600.0,,,,,,,2600.0,,,0,0,0,0,0,0,,,2600.0,6.0,,,-1.2000000000000002,-0.8571428571428573,0.0,-0.34066527941736585,-0.22030112871032215,0.0,0.0,0,-0.5609664081276879,-0.5022066757732985
ATLAS-SUSY-2016-16-eff,ATLAS,13,36.0,bWN,68.0,71.0,16.0,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/bWN/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/bWN/dataInfo.txt,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,-3.0,-0.1875,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.13810005754088728
ATLAS-SUSY-2016-16-eff,ATLAS,13,36.0,bffN,70.0,60.5,6.1,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/bffN/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/bffN/dataInfo.txt,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,9.5,1.557377049180328,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.13810005754088728
ATLAS-SUSY-2016-16-eff,ATLAS,13,36.0,tN_diag_high,19.0,18.3,2.2,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/tN_diag_high/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/tN_diag_high/dataInfo.txt,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,0.6999999999999993,0.31818181818181784,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.13810005754088728
ATLAS-SUSY-2016-16-eff,ATLAS,13,36.0,tN_diag_low,34.0,30.3,5.9,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/tN_diag_low/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/tN_diag_low/dataInfo.txt,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,3.6999999999999993,0.6271186440677965,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.13810005754088728
ATLAS-SUSY-2016-16-eff,ATLAS,13,36.0,tN_diag_med,115.0,115.0,31.0,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/tN_diag_med/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/tN_diag_med/dataInfo.txt,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.13810005754088728
ATLAS-SUSY-2016-16-eff,ATLAS,13,36.0,tN_high,8.0,3.8,1.0,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/tN_high/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/tN_high/dataInfo.txt,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,4.2,4.2,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.13810005754088728
ATLAS-SUSY-2016-16-eff,ATLAS,13,36.0,tN_med,50.0,36.3,6.6,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/tN_med/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/tN_med/dataInfo.txt,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,13.700000000000003,2.075757575757576,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.13810005754088728
ATLAS-SUSY-2016-24-eff,ATLAS,13,36.1,SR2-SF-loose,153.0,133.0,22.0,,,,2.0,,,13TeV/ATLAS/ATLAS-SUSY-2016-24-eff/SR2-SF-loose/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-24-eff/SR2-SF-loose/dataInfo.txt,,,,,,2.0,,,,,,,0,0,0,0,0,0,,,,,2.0,,20.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.13810005754088728
ATLAS-SUSY-2016-24-eff,ATLAS,13,36.1,SR2-SF-tight,9.0,9.8,2.9,,13.0,,2.0,,,13TeV/ATLAS/ATLAS-SUSY-2016-24-eff/SR2-SF-tight/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-24-eff/SR2-SF-tight/dataInfo.txt,,,13.0,,,2.0,,,,13.0,,,0,0,0,0,0,0,,,13.0,,2.0,,-0.8000000000000007,-0.2758620689655175,0.0,-0.34193955086368655,0.0,0.0,0.0,0,-0.34193955086368655,-0.3600428542948545
ATLAS-SUSY-2016-24-eff,ATLAS,13,36.1,SR2-high,0.0,1.6,1.6,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2016-24-eff/SR2-high/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-24-eff/SR2-high/dataInfo.txt,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,-1.6,-1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.13810005754088728
ATLAS-SUSY-2016-24-eff,ATLAS,13,36.1,SR2-int,2.0,4.1,2.6,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2016-24-eff/SR2-int/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-24-eff/SR2-int/dataInfo.txt,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,-2.0999999999999996,-0.8076923076923075,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.13810005754088728
ATLAS-SUSY-2016-24-eff,ATLAS,13,36.1,SR2-low,11.0,4.2,3.4,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2016-24-eff/SR2-low/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-24-eff/SR2-low/dataInfo.txt,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,6.8,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.13810005754088728
ATLAS-SUSY-2016-24-eff,ATLAS,13,36.1,WZ-0Ja,21.0,21.7,2.9,,,0.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-24-eff/WZ-0Ja/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-24-eff/WZ-0Ja/dataInfo.txt,,,,,,,,,,,,,0,0,0,0,0,0,,,,0.0,,,-0.6999999999999993,-0.24137931034482735,0.0,0.0,-0.49766005634035015,0.0,0.0,0,-0.49766005634035015,-0.461116404897984
