analysis,experiment,sqrt_s,luminosity,signal_region,N_obs,N_exp,sigma_exp,MET,HT_or_meff,N_jets,N_leptons,N_btags,category,source_path,source_url,source_comment,MET_extracted,HT_or_meff_extracted,N_jets_extracted,N_btags_extracted,N_leptons_extracted,MT2_low,MT2_high,MET_threshold,HT_meff_threshold,Njets_threshold,Nb_threshold,is_compressed,is_disappearing_track,is_long_lived,is_displaced,is_high_MET_label,is_high_multiplicity_label,category_enriched,MET_enriched,HT_or_meff_enriched,N_jets_enriched,N_leptons_enriched,N_btags_enriched,MET_imputed,MET_enriched_complete,HT_or_meff_imputed,HT_or_meff_enriched_complete,N_jets_imputed,N_jets_enriched_complete,N_leptons_imputed,N_leptons_enriched_complete,N_btags_imputed,N_btags_enriched_complete,category_imputed,category_enriched_complete,metadata_imputation_count,metadata_verified_fraction
ATLAS-SUSY-2016-06-eff,ATLAS,13,36.1,SR_EW,9.0,11.8,3.1,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2016-06-eff/SR_EW/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-06-eff/SR_EW/dataInfo.txt,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,1,500.0,1,650.0,1,2.0,1,2.0,1,1.0,1,uncategorized,6,0.0
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,2j_Meff_1200,611.0,526.0,31.0,,1200.0,2.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_1200/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_1200/dataInfo.txt,,,1200.0,,,,,,,1200.0,,,0,0,0,0,0,0,,,1200.0,2.0,,,1,500.0,0,1200.0,0,2.0,1,2.0,1,1.0,1,uncategorized,4,0.33333333333333337
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,2j_Meff_1600,216.0,228.0,19.0,,1600.0,2.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_1600/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_1600/dataInfo.txt,,,1600.0,,,,,,,1600.0,,,0,0,0,0,0,0,,,1600.0,2.0,,,1,500.0,0,1600.0,0,2.0,1,2.0,1,1.0,1,uncategorized,4,0.33333333333333337
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,2j_Meff_2000,73.0,90.0,10.0,,2000.0,2.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_2000/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_2000/dataInfo.txt,,,2000.0,,,,,,,2000.0,,,0,0,0,0,0,0,,,2000.0,2.0,,,1,500.0,0,2000.0,0,2.0,1,2.0,1,1.0,1,uncategorized,4,0.33333333333333337
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,2j_Meff_2100,190.0,153.0,14.0,,2100.0,2.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_2100/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_2100/dataInfo.txt,,,2100.0,,,,,,,2100.0,,,0,0,0,0,0,0,,,2100.0,2.0,,,1,500.0,0,2100.0,0,2.0,1,2.0,1,1.0,1,uncategorized,4,0.33333333333333337
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,2j_Meff_2400,34.0,42.0,4.0,,2400.0,2.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_2400/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_2400/dataInfo.txt,,,2400.0,,,,,,,2400.0,,,0,0,0,0,0,0,,,2400.0,2.0,,,1,500.0,0,2400.0,0,2.0,1,2.0,1,1.0,1,uncategorized,4,0.33333333333333337
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,2j_Meff_2800,19.0,17.3,2.0,,2800.0,2.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_2800/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_2800/dataInfo.txt,,,2800.0,,,,,,,2800.0,,,0,0,0,0,0,0,,,2800.0,2.0,,,1,500.0,0,2800.0,0,2.0,1,2.0,1,1.0,1,uncategorized,4,0.33333333333333337
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,2j_Meff_3600,5.0,3.6,0.9,,3600.0,2.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_3600/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/2j_Meff_3600/dataInfo.txt,,,3600.0,,,,,,,3600.0,,,0,0,0,0,0,0,,,3600.0,2.0,,,1,500.0,0,3600.0,0,2.0,1,2.0,1,1.0,1,uncategorized,4,0.33333333333333337
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,3j_Meff_1300,429.0,390.0,29.0,,1300.0,3.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/3j_Meff_1300/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/3j_Meff_1300/dataInfo.txt,,,1300.0,,,,,,,1300.0,,,0,0,0,0,0,0,,,1300.0,3.0,,,1,500.0,0,1300.0,0,3.0,1,2.0,1,1.0,1,uncategorized,4,0.33333333333333337
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,4j_Meff_1000,142.0,124.0,12.0,,1000.0,4.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/4j_Meff_1000/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/4j_Meff_1000/dataInfo.txt,,,1000.0,,,,,,,1000.0,,,0,0,0,0,0,0,,,1000.0,4.0,,,1,500.0,0,1000.0,0,4.0,1,2.0,1,1.0,1,uncategorized,4,0.33333333333333337
