N_events,mean_B_event_z,mean_HT,mean_MET,mean_MET_fraction,mean_Nbtags_medium,mean_Njets30,mean_Nleptons,mean_S_event_proxy,pseudo_region
0,,,,,,,,,SR1_low_boundary
31,-0.40742321661815534,278.169064516129,219.05354838709678,0.46540685818710203,0.3548387096774194,2.0,0.6451612903225806,1.2980020614191197,SR2_medium_MET
35,0.3608605632903661,388.81234285714294,316.0714857142857,0.4848224564937941,0.42857142857142855,2.0,0.5428571428571428,1.2838840996595735,SR3_high_MET
0,,,,,,,,,SR4_high_MET_high_jets
14,1.489093485167842,507.45085714285716,349.50692857142855,0.4300155642864686,0.7857142857142857,2.7857142857142856,1.2142857142857142,1.7303969547319444,SR5_high_boundary
1,2.416558500185808,520.188,322.883,0.3825306165002707,1.0,5.0,1.0,2.079441541679836,SR6_extreme_boundary
52,-0.1750539701005273,277.02915384615386,277.4190769230769,0.5175692086975102,0.40384615384615385,1.7115384615384615,0.5384615384615384,1.2046739566654798,SR7_high_MET_fraction
0,,,,,,,,,SR8_high_multiplicity
