row_id,analysis,signal_region,HT_or_meff,MET,N_btags,N_jets,N_leptons,is_compressed,is_disappearing_track,is_displaced,is_high_MET,is_high_multiplicity,is_long_lived,is_reconstruction_difficult
0,ATLAS-SUSY-2015-02-eff,SR1,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ATLAS-SUSY-2015-02-eff,SR2,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,ATLAS-SUSY-2015-02-eff,SR3,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,ATLAS-SUSY-2015-06-eff,SR2jl,,,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,ATLAS-SUSY-2015-06-eff,SR2jm,,,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ATLAS-SUSY-2015-06-eff,SR2jt,,,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,ATLAS-SUSY-2015-06-eff,SR4jt,,,,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,ATLAS-SUSY-2015-06-eff,SR5j,,,,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,ATLAS-SUSY-2015-06-eff,SR6jm,,,,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,ATLAS-SUSY-2015-06-eff,SR6jt,,,,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,ATLAS-SUSY-2016-06-eff,SR_EW,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,ATLAS-SUSY-2016-07-eff,2j_Meff_1200,1200.0,,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,ATLAS-SUSY-2016-07-eff,2j_Meff_1600,1600.0,,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,ATLAS-SUSY-2016-07-eff,2j_Meff_2000,2000.0,,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,ATLAS-SUSY-2016-07-eff,2j_Meff_2100,2100.0,,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,ATLAS-SUSY-2016-07-eff,2j_Meff_2400,2400.0,,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ATLAS-SUSY-2016-07-eff,2j_Meff_2800,2800.0,,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,ATLAS-SUSY-2016-07-eff,2j_Meff_3600,3600.0,,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,ATLAS-SUSY-2016-07-eff,3j_Meff_1300,1300.0,,,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,ATLAS-SUSY-2016-07-eff,4j_Meff_1000,1000.0,,,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,ATLAS-SUSY-2016-07-eff,4j_Meff_1400,1400.0,,,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,ATLAS-SUSY-2016-07-eff,4j_Meff_1800,1800.0,,,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,ATLAS-SUSY-2016-07-eff,4j_Meff_2200,2200.0,,,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,ATLAS-SUSY-2016-07-eff,4j_Meff_2600,2600.0,,,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,ATLAS-SUSY-2016-07-eff,4j_Meff_3000,3000.0,,,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,ATLAS-SUSY-2016-07-eff,5j_Meff_1600,1600.0,,,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,ATLAS-SUSY-2016-07-eff,5j_Meff_1700,1700.0,,,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,ATLAS-SUSY-2016-07-eff,5j_Meff_2000,2000.0,,,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,ATLAS-SUSY-2016-07-eff,5j_Meff_2600,2600.0,,,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,ATLAS-SUSY-2016-07-eff,6j_Meff_1200,1200.0,,,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,ATLAS-SUSY-2016-07-eff,6j_Meff_1800,1800.0,,,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,ATLAS-SUSY-2016-07-eff,6j_Meff_2200,2200.0,,,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,ATLAS-SUSY-2016-07-eff,6j_Meff_2600,2600.0,,,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,ATLAS-SUSY-2016-16-eff,bWN,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,ATLAS-SUSY-2016-16-eff,bffN,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,ATLAS-SUSY-2016-16-eff,tN_diag_high,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,ATLAS-SUSY-2016-16-eff,tN_diag_low,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,ATLAS-SUSY-2016-16-eff,tN_diag_med,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,ATLAS-SUSY-2016-16-eff,tN_high,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,ATLAS-SUSY-2016-16-eff,tN_med,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,ATLAS-SUSY-2016-24-eff,SR2-SF-loose,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,ATLAS-SUSY-2016-24-eff,SR2-SF-tight,13.0,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
