N_events,mean_B_event_z,mean_HT,mean_MET,mean_MET_fraction,mean_Nbtags_medium,mean_Njets30,mean_Nleptons,mean_S_event_proxy,pseudo_region
13844,-0.13610045233631607,105.0144158119044,50.92812190002882,0.40464616905886425,0.06927188673793701,1.6906240970817683,0.7312915342386593,1.1519561654982706,SR1_low_boundary
260,1.7215926914287647,260.6081823076924,181.87551153846144,0.4604210388897953,0.09615384615384616,2.226923076923077,0.9115384615384615,1.373161479467731,SR2_medium_MET
32,3.492876492850314,429.85784375000003,308.77906249999995,0.4377445245732366,0.09375,2.5,1.0,1.4544039703178058,SR3_high_MET
0,,,,,,,,,SR4_high_MET_high_jets
2287,1.7050931197781383,269.6971022299958,82.56199233843437,0.24674197465700523,0.26541320507214694,3.0756449497157847,1.439440314822912,1.7361701304897295,SR5_high_boundary
579,2.6281557525226646,381.64792746114,108.45372829015538,0.23060225330530823,0.45077720207253885,3.309153713298791,1.7236614853195165,1.8484621518798976,SR6_extreme_boundary
5812,-0.45804074937622924,50.82057279766002,67.2140481847902,0.643832468296275,0.054026152787336544,0.9977632484514797,0.526152787336545,0.832218538694824,SR7_high_MET_fraction
0,,,,,,,,,SR8_high_multiplicity
